"Uganda","Zambia","output_type","file_name","parm","quartile"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_baseline_LQ.csv","baseline","LQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_baseline_LQ.csv","baseline","LQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_baseline_LQ.csv","baseline","LQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_baseline_LQ.csv","baseline","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"2 (-31 to 38)","2 (-31 to 39)","100x DALYs averted, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
