Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
23 (15 to 31),23 (15 to 31),23 (15 to 31),23 (15 to 31),23 (15 to 31),23 (15 to 31),23 (15 to 31)
62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72)
44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54)
35 (25 to 46),35 (25 to 46),35 (25 to 46),35 (25 to 46),35 (25 to 46),35 (25 to 46),35 (25 to 46)
13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20)
55 (44 to 66),55 (44 to 66),55 (44 to 66),55 (44 to 66),55 (44 to 66),55 (44 to 66),55 (44 to 66)
32 (21 to 42),32 (21 to 42),32 (21 to 42),32 (21 to 42),32 (21 to 42),32 (21 to 42),32 (21 to 42)
23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32)
35 (14 to 58),35 (14 to 58),35 (14 to 58),35 (14 to 58),35 (14 to 58),35 (14 to 58),35 (14 to 58)
7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20)
6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20)
13 (0 to 32),13 (0 to 32),13 (0 to 32),13 (0 to 32),13 (0 to 32),13 (0 to 32),13 (0 to 32)
40 (27 to 51),40 (27 to 51),40 (27 to 51),40 (27 to 51),40 (27 to 51),40 (27 to 51),40 (27 to 51)
21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32)
13 (2 to 23),13 (2 to 23),13 (2 to 23),13 (2 to 23),13 (2 to 23),13 (2 to 23),13 (2 to 23)
-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8)
-27 (-38 to -16),-27 (-38 to -16),-27 (-38 to -16),-27 (-38 to -16),-27 (-38 to -16),-27 (-38 to -16),-27 (-38 to -16)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
15 (13 to 18),15 (13 to 18),15 (13 to 18),15 (13 to 18),15 (13 to 18),15 (13 to 18),15 (13 to 18)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-3 (-6 to 0),-3 (-5 to 0),-3 (-5 to 0),-3 (-5 to 0),-3 (-5 to 0),-3 (-5 to 0),-3 (-5 to 0)
-3 (-6 to 0),-3 (-5 to 0),-3 (-6 to 0),-3 (-6 to 0),-3 (-6 to 0),-3 (-6 to 0),-3 (-5 to 0)
-2 (-5 to 1),-2 (-5 to 0),-2 (-5 to 0),-2 (-5 to 0),-2 (-5 to 0),-2 (-5 to 0),-2 (-5 to 0)
0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
