Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (24 to 36),30 (24 to 36)
58 (53 to 63),58 (53 to 63)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
25 (14 to 37),25 (14 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
75 (63 to 86),75 (63 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (14 to 23),19 (14 to 23)
100 (100 to 100),100 (100 to 100)
73 (67 to 78),73 (67 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 35),28 (23 to 35)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-8 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1248 (-1403 to -1102),-1243 (-1400 to -1102)
-826 (-875 to -783),-823 (-875 to -784)
-869 (-934 to -812),-865 (-932 to -810)
-831 (-885 to -789),-829 (-884 to -786)
422 (276 to 580),420 (273 to 583)
379 (236 to 534),378 (234 to 537)
417 (275 to 568),414 (269 to 569)
-42 (-91 to -5),-42 (-90 to -5)
-5 (-57 to 44),-6 (-57 to 45)
37 (-24 to 102),36 (-22 to 100)
-509 (-572 to -450),-508 (-573 to -451)
-337 (-357 to -320),-337 (-358 to -320)
-354 (-381 to -331),-354 (-381 to -331)
-339 (-361 to -322),-339 (-362 to -321)
172 (112 to 237),172 (112 to 238)
155 (96 to 218),155 (96 to 220)
170 (112 to 232),169 (110 to 233)
-17 (-37 to -2),-17 (-37 to -2)
-2 (-23 to 18),-2 (-23 to 18)
15 (-10 to 42),15 (-9 to 41)
33 (29 to 37),38 (33 to 43)
108 (104 to 112),125 (121 to 129)
85 (78 to 92),98 (90 to 106)
104 (100 to 109),120 (114 to 124)
75 (70 to 81),87 (81 to 93)
52 (45 to 60),60 (51 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -18),-27 (-34 to -21)
-4 (-8 to 1),-5 (-11 to 0)
19 (13 to 26),22 (14 to 30)
17.91,20.77
13.84,15.91
17.28,19.76
54.33,64.54
70.35,95.5
52.19,59.79
43.9,50.8
33.93,38.92
42.35,48.34
133.19,157.86
172.45,233.6
127.94,146.25
