Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (71 to 91),82 (71 to 91)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (9 to 29),18 (9 to 29)
24 (13 to 35),24 (13 to 35)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 26),20 (13 to 26)
13 (7 to 20),13 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (16 to 21),19 (16 to 21)
12 (11 to 13),12 (11 to 13)
13 (12 to 14),13 (12 to 14)
14 (12 to 15),14 (12 to 15)
-7 (-9 to -4),-7 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1241 (-1394 to -1102),-1237 (-1384 to -1096)
-803 (-855 to -762),-801 (-850 to -760)
-871 (-945 to -805),-869 (-943 to -805)
-907 (-997 to -832),-905 (-1003 to -831)
438 (287 to 591),436 (285 to 598)
370 (227 to 528),368 (228 to 522)
334 (199 to 481),332 (192 to 478)
-68 (-133 to -17),-68 (-132 to -17)
-104 (-191 to -21),-104 (-199 to -18)
-36 (-125 to 49),-36 (-128 to 50)
-506 (-569 to -449),-506 (-566 to -448)
-328 (-349 to -311),-328 (-348 to -311)
-355 (-385 to -329),-355 (-385 to -329)
-370 (-407 to -339),-370 (-410 to -340)
179 (117 to 241),178 (117 to 245)
151 (93 to 215),151 (93 to 213)
136 (81 to 196),136 (78 to 196)
-28 (-54 to -7),-28 (-54 to -7)
-42 (-78 to -9),-42 (-82 to -8)
-15 (-51 to 20),-15 (-52 to 21)
33 (29 to 37),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 88),94 (86 to 101)
85 (79 to 91),98 (90 to 104)
75 (70 to 80),87 (81 to 93)
49 (42 to 56),56 (48 to 65)
53 (46 to 60),60 (51 to 68)
-26 (-32 to -21),-31 (-37 to -24)
-23 (-28 to -16),-27 (-34 to -20)
4 (-4 to 11),3 (-5 to 12)
17.19,19.96
13.28,15.32
15.76,18
38.61,45.14
21.81,26.25
-9.75,-9.5
42.15,48.83
32.56,37.47
38.64,44.02
94.65,110.42
53.46,64.22
-23.9,-23.24
