Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (71 to 91),82 (71 to 91)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (9 to 29),18 (9 to 29)
24 (13 to 35),24 (13 to 35)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 26),20 (13 to 26)
13 (7 to 20),13 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
13 (12 to 13),13 (12 to 13)
14 (13 to 15),14 (13 to 15)
14 (13 to 16),14 (13 to 16)
-6 (-8 to -4),-6 (-8 to -4)
-5 (-7 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
0 (-1 to 2),0 (-1 to 2)
-1254 (-1410 to -1115),-1250 (-1398 to -1106)
-851 (-901 to -812),-849 (-897 to -809)
-913 (-985 to -850),-911 (-983 to -850)
-946 (-1040 to -872),-944 (-1041 to -871)
404 (263 to 544),402 (263 to 552)
341 (210 to 486),339 (211 to 482)
308 (182 to 445),306 (176 to 440)
-62 (-123 to -15),-63 (-122 to -15)
-95 (-175 to -20),-96 (-184 to -17)
-33 (-115 to 46),-33 (-118 to 47)
-512 (-575 to -455),-511 (-571 to -452)
-347 (-367 to -331),-347 (-367 to -331)
-372 (-402 to -347),-372 (-402 to -347)
-386 (-424 to -356),-386 (-426 to -356)
165 (107 to 222),164 (107 to 226)
139 (85 to 198),139 (86 to 197)
126 (74 to 182),125 (72 to 180)
-25 (-50 to -6),-26 (-50 to -6)
-39 (-71 to -8),-39 (-75 to -7)
-14 (-47 to 19),-13 (-48 to 19)
33 (29 to 37),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 88),94 (86 to 101)
85 (79 to 91),98 (90 to 104)
75 (70 to 80),87 (81 to 93)
49 (42 to 56),56 (48 to 65)
53 (46 to 60),60 (51 to 68)
-26 (-32 to -21),-31 (-37 to -24)
-23 (-28 to -16),-27 (-34 to -20)
4 (-4 to 11),3 (-5 to 12)
18.66,21.67
14.41,16.63
17.1,19.54
41.91,48.97
23.67,28.49
-10.58,-10.32
45.74,53
35.33,40.67
41.93,47.78
102.73,119.79
58.03,69.69
-25.94,-25.24
