Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (16 to 27),22 (16 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
26 (14 to 37),26 (14 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 84),78 (73 to 84)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
74 (63 to 86),74 (63 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (14 to 23),19 (14 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
18 (16 to 20),18 (16 to 20)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-5 (-8 to -4),-5 (-8 to -4)
-5 (-7 to -3),-5 (-7 to -3)
-5 (-7 to -4),-5 (-7 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
0 (-1 to 0),0 (-1 to 0)
-1181 (-1314 to -1063),-1179 (-1312 to -1062)
-818 (-860 to -784),-817 (-863 to -783)
-855 (-916 to -804),-854 (-914 to -805)
-822 (-869 to -786),-821 (-868 to -785)
363 (244 to 507),362 (244 to 508)
326 (214 to 463),326 (213 to 466)
359 (243 to 491),358 (240 to 494)
-37 (-78 to 0),-36 (-78 to 0)
-4 (-48 to 38),-4 (-47 to 38)
33 (-20 to 89),32 (-20 to 89)
-482 (-536 to -434),-482 (-537 to -434)
-334 (-351 to -320),-334 (-353 to -320)
-349 (-373 to -328),-349 (-374 to -329)
-336 (-354 to -321),-336 (-355 to -321)
148 (100 to 207),148 (100 to 207)
133 (87 to 189),133 (87 to 190)
146 (99 to 200),146 (98 to 202)
-15 (-32 to 0),-15 (-32 to 0)
-2 (-19 to 15),-2 (-19 to 15)
13 (-8 to 36),13 (-8 to 36)
32 (29 to 36),38 (33 to 42)
108 (105 to 112),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (101 to 109),120 (115 to 125)
76 (71 to 81),87 (82 to 93)
53 (45 to 59),61 (52 to 68)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-34 to -20)
-3 (-8 to 1),-5 (-10 to 0)
19 (13 to 26),22 (14 to 30)
20.86,24.15
16.21,18.61
20.17,22.98
62.34,73.68
81.98,127.58
59.9,66.95
51.13,59.07
39.73,45.52
49.44,56.22
152.82,180.22
200.96,312.05
146.83,163.77
