Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 18),13 (9 to 18)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (71 to 92),82 (71 to 92)
76 (64 to 86),76 (64 to 86)
87 (82 to 91),87 (82 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (8 to 29),18 (8 to 29)
24 (14 to 36),24 (14 to 36)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 27),20 (13 to 27)
13 (7 to 20),13 (7 to 20)
34 (26 to 41),34 (26 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
20 (17 to 22),20 (17 to 23)
13 (12 to 13),12 (12 to 13)
14 (12 to 15),14 (12 to 15)
14 (13 to 16),14 (13 to 16)
-7 (-10 to -5),-7 (-10 to -5)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1323 (-1501 to -1161),-1319 (-1502 to -1158)
-836 (-892 to -790),-834 (-890 to -787)
-911 (-994 to -833),-908 (-990 to -832)
-952 (-1049 to -871),-949 (-1044 to -868)
487 (319 to 665),486 (319 to 664)
412 (248 to 578),411 (249 to 578)
371 (217 to 527),370 (218 to 526)
-75 (-142 to -14),-75 (-144 to -16)
-116 (-217 to -25),-116 (-214 to -26)
-41 (-140 to 52),-41 (-138 to 51)
-540 (-612 to -474),-539 (-614 to -473)
-341 (-364 to -322),-341 (-364 to -322)
-372 (-405 to -340),-371 (-405 to -340)
-388 (-428 to -355),-388 (-427 to -355)
198 (130 to 271),199 (130 to 271)
168 (101 to 236),168 (102 to 237)
151 (88 to 215),151 (89 to 215)
-31 (-58 to -6),-31 (-59 to -7)
-47 (-89 to -10),-47 (-88 to -11)
-17 (-57 to 21),-17 (-56 to 21)
32 (29 to 37),38 (33 to 42)
108 (104 to 112),125 (120 to 129)
82 (75 to 88),94 (86 to 102)
85 (79 to 91),98 (90 to 105)
75 (70 to 80),87 (81 to 93)
49 (41 to 57),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-29 to -16),-27 (-34 to -20)
3 (-4 to 11),3 (-5 to 12)
15.49,17.94
11.98,13.76
14.24,16.19
34.81,40.96
19.48,23.53
-8.42,-8.18
37.98,43.88
29.37,33.65
34.92,39.6
85.33,100.18
47.77,57.56
-20.64,-20.01
