Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
25 (13 to 38),25 (13 to 38)
93 (85 to 98),93 (85 to 98)
86 (75 to 94),86 (75 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
75 (62 to 87),75 (62 to 87)
7 (2 to 15),7 (2 to 15)
14 (6 to 25),14 (6 to 25)
8 (2 to 16),8 (2 to 16)
19 (14 to 24),19 (14 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (17 to 26),21 (17 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 35),28 (22 to 35)
18 (16 to 20),18 (16 to 20)
12 (11 to 12),12 (11 to 12)
12 (11 to 13),12 (11 to 13)
12 (11 to 12),12 (11 to 12)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1193 (-1354 to -1038),-1190 (-1350 to -1039)
-771 (-820 to -732),-769 (-817 to -733)
-815 (-885 to -761),-812 (-879 to -753)
-776 (-830 to -733),-774 (-825 to -729)
423 (275 to 589),421 (275 to 586)
379 (232 to 544),377 (233 to 540)
418 (268 to 579),416 (272 to 579)
-44 (-98 to 0),-44 (-94 to 0)
-5 (-55 to 46),-5 (-54 to 45)
39 (-24 to 111),39 (-23 to 102)
-487 (-553 to -423),-486 (-552 to -425)
-314 (-334 to -299),-314 (-334 to -300)
-332 (-361 to -310),-332 (-359 to -308)
-316 (-339 to -299),-316 (-337 to -298)
172 (112 to 240),172 (113 to 240)
155 (95 to 222),154 (95 to 221)
170 (109 to 236),170 (111 to 237)
-18 (-40 to 0),-18 (-38 to 0)
-2 (-22 to 19),-2 (-22 to 18)
16 (-10 to 45),16 (-9 to 42)
32 (28 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (79 to 92),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
76 (71 to 80),87 (82 to 93)
53 (46 to 60),61 (52 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-33 to -20)
-3 (-8 to 1),-5 (-11 to 0)
19 (13 to 26),22 (14 to 30)
17.89,20.76
13.96,16.07
17.3,19.75
51.81,61.46
66.84,106.26
49.84,55.73
43.86,50.79
34.23,39.3
42.4,48.3
127,150.34
163.86,259.9
122.18,136.32
