Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (36 to 49),43 (36 to 49)
25 (14 to 37),25 (14 to 37)
92 (84 to 98),92 (84 to 98)
82 (72 to 91),82 (72 to 91)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 64),57 (51 to 64)
75 (63 to 86),75 (63 to 86)
8 (2 to 16),8 (2 to 16)
18 (9 to 28),18 (9 to 28)
24 (13 to 35),24 (13 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
14 (10 to 18),14 (10 to 18)
8 (6 to 12),8 (6 to 12)
20 (13 to 27),20 (13 to 27)
13 (7 to 20),13 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (17 to 22),19 (17 to 22)
13 (13 to 14),13 (13 to 14)
14 (13 to 15),14 (13 to 15)
15 (14 to 16),15 (14 to 16)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1300 (-1458 to -1155),-1298 (-1456 to -1151)
-880 (-930 to -840),-878 (-929 to -838)
-944 (-1022 to -879),-942 (-1015 to -881)
-979 (-1061 to -906),-977 (-1064 to -906)
420 (269 to 587),420 (268 to 581)
356 (212 to 510),356 (209 to 507)
321 (182 to 474),321 (186 to 473)
-64 (-124 to -14),-64 (-125 to -15)
-98 (-183 to -26),-98 (-188 to -28)
-35 (-116 to 45),-35 (-117 to 44)
-530 (-595 to -471),-531 (-595 to -471)
-359 (-379 to -343),-359 (-380 to -343)
-385 (-417 to -359),-385 (-415 to -360)
-399 (-433 to -370),-399 (-435 to -370)
171 (110 to 240),172 (109 to 237)
145 (86 to 208),146 (85 to 207)
131 (74 to 194),131 (76 to 193)
-26 (-51 to -6),-26 (-51 to -6)
-40 (-75 to -11),-40 (-77 to -12)
-14 (-47 to 18),-14 (-48 to 18)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 89),94 (86 to 102)
85 (79 to 92),98 (90 to 105)
76 (70 to 81),87 (81 to 93)
49 (42 to 57),57 (48 to 66)
53 (46 to 60),60 (51 to 68)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
18,20.8
13.89,15.91
16.46,18.66
40.98,48.11
23.06,27.78
-9.91,-9.59
44.14,50.87
34.05,38.92
40.34,45.65
100.46,117.68
56.53,67.95
-24.29,-23.46
