Uganda,Zambia
15 (11 to 19),15 (11 to 19)
34 (29 to 40),34 (29 to 40)
29 (24 to 34),29 (24 to 34)
58 (52 to 63),58 (52 to 63)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 21),17 (12 to 21)
50 (44 to 57),50 (44 to 57)
25 (14 to 38),25 (14 to 38)
93 (85 to 98),93 (85 to 98)
86 (75 to 94),86 (75 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (79 to 88),83 (79 to 88)
50 (43 to 56),50 (43 to 56)
75 (62 to 86),75 (62 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 25),14 (6 to 25)
8 (2 to 16),8 (2 to 16)
19 (14 to 24),19 (14 to 24)
100 (100 to 100),100 (100 to 100)
72 (67 to 77),72 (67 to 77)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (17 to 25),21 (17 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
19 (13 to 26),19 (13 to 26)
14 (7 to 20),14 (7 to 20)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (18 to 30),23 (18 to 30)
29 (23 to 35),29 (23 to 35)
18 (16 to 20),18 (16 to 20)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-8 to -4),-6 (-8 to -4)
-5 (-7 to -4),-5 (-7 to -3)
-6 (-8 to -4),-6 (-8 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-1 to 0),-1 (-1 to 0)
-1223 (-1344 to -1102),-1220 (-1340 to -1094)
-824 (-874 to -784),-822 (-871 to -782)
-865 (-930 to -810),-863 (-927 to -809)
-828 (-882 to -786),-827 (-881 to -786)
399 (274 to 526),398 (269 to 525)
358 (237 to 480),357 (232 to 484)
395 (267 to 522),394 (267 to 521)
-41 (-90 to -7),-41 (-88 to -7)
-5 (-53 to 44),-5 (-53 to 44)
37 (-23 to 100),36 (-25 to 98)
-499 (-548 to -449),-499 (-548 to -447)
-336 (-357 to -320),-336 (-356 to -320)
-353 (-379 to -331),-353 (-379 to -331)
-338 (-360 to -321),-338 (-360 to -322)
163 (112 to 215),163 (110 to 215)
146 (97 to 196),146 (95 to 198)
161 (109 to 213),161 (109 to 213)
-17 (-37 to -3),-17 (-36 to -3)
-2 (-22 to 18),-2 (-22 to 18)
15 (-9 to 41),15 (-10 to 40)
32 (29 to 37),38 (33 to 42)
108 (104 to 111),125 (121 to 129)
84 (78 to 91),97 (90 to 105)
105 (100 to 109),120 (114 to 125)
75 (70 to 81),87 (81 to 93)
52 (45 to 59),60 (51 to 68)
72 (66 to 78),82 (75 to 90)
-23 (-29 to -18),-27 (-34 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (15 to 31)
18.87,21.86
14.52,16.67
18.28,20.85
56.64,67.24
68.02,105.87
55.16,62.19
46.27,53.48
35.6,40.78
44.82,51.01
138.85,164.48
166.74,258.96
135.23,152.11
