Uganda,Zambia
15 (12 to 19),15 (12 to 19)
36 (31 to 41),36 (31 to 41)
30 (24 to 34),30 (24 to 34)
50 (44 to 55),50 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (36 to 49),43 (36 to 49)
25 (15 to 36),25 (15 to 36)
92 (85 to 98),92 (85 to 98)
82 (72 to 92),82 (72 to 92)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 64),57 (51 to 64)
75 (64 to 85),75 (64 to 85)
8 (2 to 15),8 (2 to 15)
18 (8 to 28),18 (8 to 28)
24 (13 to 35),24 (13 to 35)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 11),8 (5 to 11)
21 (14 to 27),21 (14 to 27)
14 (8 to 21),14 (8 to 21)
34 (27 to 41),34 (27 to 41)
-7 (-9 to -4),-7 (-9 to -4)
13 (7 to 20),13 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 15)
14 (13 to 15),14 (13 to 15)
-7 (-9 to -5),-7 (-9 to -5)
-6 (-8 to -4),-6 (-8 to -4)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1281 (-1415 to -1153),-1278 (-1413 to -1156)
-828 (-882 to -785),-826 (-879 to -783)
-898 (-972 to -828),-895 (-970 to -828)
-936 (-1024 to -860),-933 (-1021 to -855)
453 (324 to 586),452 (326 to 581)
383 (262 to 517),384 (260 to 518)
345 (213 to 477),345 (213 to 478)
-69 (-128 to -20),-68 (-129 to -20)
-107 (-194 to -31),-107 (-194 to -29)
-38 (-124 to 40),-38 (-125 to 43)
-523 (-577 to -470),-523 (-577 to -472)
-338 (-360 to -320),-338 (-359 to -320)
-366 (-397 to -338),-366 (-396 to -339)
-382 (-418 to -351),-381 (-417 to -350)
185 (132 to 239),185 (133 to 238)
156 (107 to 211),157 (106 to 212)
141 (87 to 195),141 (87 to 196)
-28 (-52 to -8),-28 (-53 to -8)
-44 (-79 to -13),-44 (-79 to -12)
-15 (-51 to 16),-16 (-51 to 18)
32 (29 to 36),38 (33 to 42)
108 (105 to 112),125 (121 to 129)
83 (76 to 89),95 (88 to 103)
86 (79 to 92),98 (91 to 105)
76 (71 to 81),88 (82 to 94)
50 (43 to 58),58 (49 to 66)
53 (46 to 60),60 (52 to 69)
-26 (-31 to -20),-30 (-36 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 10),3 (-6 to 11)
16.77,19.4
13.1,15.01
15.4,17.48
37.11,43.97
21.2,25.59
-7.76,-7.14
41.11,47.44
32.12,36.72
37.74,42.75
90.98,107.55
51.96,62.59
-19.03,-17.47
