Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
99 (97 to 100),99 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
1 (0 to 3),1 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 21),17 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
91 (83 to 98),91 (83 to 98)
82 (71 to 91),82 (71 to 91)
76 (65 to 86),76 (65 to 86)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (79 to 88),83 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
9 (2 to 17),9 (2 to 17)
18 (9 to 29),18 (9 to 29)
24 (14 to 35),24 (14 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 3),2 (1 to 3)
21 (17 to 26),21 (17 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 21),14 (8 to 21)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 15)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),0 (-1 to 2)
-1250 (-1417 to -1106),-1249 (-1405 to -1106)
-833 (-885 to -787),-832 (-886 to -787)
-895 (-968 to -829),-894 (-969 to -830)
-929 (-1014 to -860),-927 (-1016 to -855)
417 (277 to 576),417 (275 to 569)
355 (221 to 506),355 (219 to 502)
321 (190 to 467),322 (193 to 461)
-62 (-118 to -15),-62 (-120 to -16)
-97 (-183 to -26),-95 (-183 to -22)
-34 (-113 to 46),-33 (-115 to 47)
-510 (-578 to -451),-510 (-575 to -452)
-340 (-361 to -321),-340 (-362 to -322)
-365 (-395 to -338),-365 (-396 to -339)
-379 (-414 to -351),-379 (-415 to -350)
170 (113 to 235),171 (112 to 233)
145 (90 to 206),145 (90 to 205)
131 (78 to 191),131 (79 to 188)
-25 (-48 to -6),-26 (-49 to -7)
-39 (-75 to -10),-39 (-75 to -9)
-14 (-46 to 19),-14 (-47 to 19)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (76 to 88),94 (87 to 102)
85 (79 to 91),98 (90 to 105)
76 (71 to 81),87 (82 to 93)
50 (42 to 57),57 (48 to 66)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-34 to -20)
3 (-5 to 11),3 (-6 to 12)
18.11,20.95
14.01,16.08
16.53,18.72
41.51,48.64
23.35,28.44
-9.62,-9.69
44.4,51.24
34.34,39.32
40.53,45.8
101.75,118.98
57.24,69.56
-23.58,-23.69
