Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 34),29 (24 to 34)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
96 (94 to 99),96 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
4 (1 to 6),4 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 21),17 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
93 (86 to 98),93 (86 to 98)
83 (73 to 92),83 (73 to 92)
77 (66 to 87),77 (66 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (79 to 88),83 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
7 (2 to 14),7 (2 to 14)
17 (8 to 27),17 (8 to 27)
23 (13 to 34),23 (13 to 34)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 3),2 (1 to 3)
21 (17 to 26),21 (17 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (14 to 27),20 (14 to 27)
14 (8 to 21),14 (8 to 21)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 21),14 (7 to 21)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1250 (-1417 to -1106),-1249 (-1405 to -1106)
-822 (-876 to -782),-821 (-875 to -782)
-886 (-958 to -823),-884 (-961 to -822)
-924 (-1011 to -853),-922 (-1008 to -849)
428 (282 to 591),428 (287 to 581)
365 (227 to 519),364 (231 to 517)
326 (197 to 471),327 (198 to 463)
-64 (-121 to -18),-64 (-120 to -17)
-102 (-187 to -30),-101 (-188 to -27)
-38 (-119 to 41),-37 (-119 to 42)
-510 (-578 to -451),-510 (-575 to -452)
-335 (-357 to -319),-336 (-358 to -320)
-361 (-391 to -336),-362 (-393 to -336)
-377 (-412 to -348),-377 (-412 to -347)
175 (115 to 241),175 (117 to 238)
149 (92 to 212),149 (95 to 211)
133 (80 to 192),134 (81 to 189)
-26 (-49 to -7),-26 (-49 to -7)
-42 (-76 to -12),-41 (-77 to -11)
-16 (-49 to 17),-15 (-49 to 17)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (76 to 89),95 (87 to 102)
85 (79 to 92),98 (90 to 105)
76 (71 to 81),88 (82 to 94)
50 (42 to 57),57 (48 to 66)
53 (46 to 60),60 (52 to 69)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-34 to -20)
3 (-5 to 11),3 (-6 to 12)
17.69,20.45
13.68,15.69
16.28,18.44
40.71,47.71
22.2,26.96
-8.47,-8.41
43.37,50.03
33.53,38.37
39.92,45.11
99.79,116.71
54.41,65.95
-20.75,-20.58
