Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (24 to 36),30 (24 to 36)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
96 (94 to 98),96 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
4 (2 to 6),4 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
25 (14 to 37),25 (14 to 37)
92 (85 to 98),92 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
75 (63 to 86),75 (63 to 86)
8 (2 to 15),8 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (17 to 26),21 (17 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 27),20 (14 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 35),28 (23 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1253 (-1403 to -1115),-1250 (-1400 to -1108)
-827 (-878 to -787),-825 (-877 to -784)
-871 (-942 to -815),-869 (-936 to -813)
-832 (-886 to -787),-831 (-886 to -790)
426 (290 to 576),425 (288 to 581)
382 (248 to 532),382 (252 to 534)
420 (287 to 574),420 (282 to 579)
-44 (-94 to -2),-43 (-93 to -4)
-5 (-59 to 47),-5 (-56 to 47)
39 (-28 to 109),38 (-27 to 108)
-511 (-572 to -455),-511 (-572 to -453)
-337 (-358 to -321),-337 (-359 to -320)
-355 (-384 to -332),-355 (-383 to -333)
-339 (-361 to -321),-340 (-362 to -323)
174 (118 to 235),174 (118 to 237)
156 (101 to 217),156 (103 to 218)
172 (117 to 234),172 (115 to 237)
-18 (-38 to -1),-18 (-38 to -2)
-2 (-24 to 19),-2 (-23 to 19)
16 (-11 to 44),16 (-11 to 44)
32 (29 to 36),38 (33 to 42)
108 (105 to 112),125 (121 to 129)
85 (79 to 92),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
76 (71 to 81),88 (82 to 93)
53 (46 to 60),61 (52 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-29 to -18),-27 (-34 to -21)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 26),22 (14 to 30)
17.8,20.6
13.85,15.88
17.24,19.64
52.14,62.31
64.57,97.87
50.52,57.41
43.64,50.4
33.95,38.84
42.25,48.04
127.82,152.4
158.29,239.39
123.84,140.42
