Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 99),98 (97 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
2 (1 to 3),2 (1 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 22),16 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (14 to 37),25 (14 to 37)
92 (85 to 98),92 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (78 to 88),84 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 86),75 (63 to 86)
8 (2 to 15),8 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (17 to 26),21 (17 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 50),43 (36 to 50)
-5 (-8 to -3),-5 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 35),28 (23 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1253 (-1403 to -1115),-1250 (-1400 to -1108)
-827 (-878 to -787),-825 (-877 to -784)
-871 (-942 to -815),-869 (-936 to -813)
-832 (-886 to -787),-831 (-886 to -790)
426 (290 to 576),425 (288 to 581)
382 (248 to 532),382 (252 to 534)
420 (287 to 574),420 (282 to 579)
-44 (-94 to -2),-43 (-93 to -4)
-5 (-59 to 47),-5 (-56 to 47)
39 (-28 to 109),38 (-27 to 108)
-511 (-572 to -455),-511 (-572 to -453)
-337 (-358 to -321),-337 (-359 to -320)
-355 (-384 to -332),-355 (-383 to -333)
-339 (-361 to -321),-340 (-362 to -323)
174 (118 to 235),174 (118 to 237)
156 (101 to 217),156 (103 to 218)
172 (117 to 234),172 (115 to 237)
-18 (-38 to -1),-18 (-38 to -2)
-2 (-24 to 19),-2 (-23 to 19)
16 (-11 to 44),16 (-11 to 44)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
76 (71 to 80),87 (81 to 93)
53 (46 to 60),60 (52 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-29 to -18),-27 (-34 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.75,20.55
13.81,15.84
17.21,19.61
51.98,62.1
62.76,95.77
50.57,57.47
43.52,50.26
33.86,38.74
42.19,47.96
127.42,151.9
153.86,234.25
123.96,140.56
