Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 35),30 (24 to 35)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (16 to 27),22 (16 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (14 to 38),25 (14 to 38)
92 (85 to 98),92 (85 to 98)
85 (76 to 94),85 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 84),78 (73 to 84)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (62 to 86),75 (62 to 86)
8 (2 to 15),8 (2 to 15)
15 (6 to 24),15 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (14 to 23),19 (14 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1249 (-1408 to -1108),-1247 (-1398 to -1106)
-828 (-881 to -787),-827 (-880 to -784)
-872 (-941 to -817),-870 (-939 to -811)
-832 (-886 to -788),-830 (-885 to -785)
421 (283 to 580),421 (279 to 578)
378 (230 to 532),377 (230 to 531)
418 (276 to 582),418 (274 to 575)
-43 (-91 to 0),-43 (-92 to 0)
-3 (-53 to 50),-3 (-56 to 51)
40 (-24 to 112),40 (-21 to 109)
-510 (-574 to -452),-510 (-572 to -452)
-338 (-359 to -321),-338 (-360 to -321)
-356 (-384 to -333),-356 (-384 to -332)
-339 (-361 to -322),-339 (-362 to -321)
172 (116 to 237),172 (114 to 236)
154 (94 to 217),154 (94 to 217)
170 (113 to 237),171 (112 to 235)
-18 (-37 to 0),-18 (-38 to 0)
-1 (-22 to 21),-1 (-23 to 21)
16 (-10 to 46),17 (-9 to 45)
32 (28 to 36),37 (33 to 42)
108 (104 to 111),125 (121 to 129)
85 (79 to 91),98 (90 to 105)
105 (100 to 109),120 (115 to 125)
75 (70 to 81),87 (81 to 93)
53 (45 to 60),60 (52 to 69)
72 (66 to 78),82 (76 to 89)
-23 (-29 to -17),-27 (-33 to -20)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 26),22 (14 to 29)
17.92,20.72
13.94,16
17.32,19.71
52.57,61.91
95.09,166.68
49.11,54.35
43.93,50.69
34.18,39.14
42.45,48.2
128.86,151.44
233.11,407.71
120.39,132.94
