Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 34),29 (24 to 34)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 22),16 (12 to 22)
43 (37 to 49),43 (37 to 49)
25 (15 to 37),25 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (72 to 92),82 (72 to 92)
77 (65 to 88),77 (65 to 88)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (78 to 88),84 (78 to 88)
57 (51 to 63),57 (51 to 63)
75 (63 to 85),75 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (8 to 28),18 (8 to 28)
23 (12 to 35),23 (12 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 26),21 (17 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (14 to 27),20 (14 to 27)
14 (8 to 20),14 (8 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-10 to -4),-6 (-10 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1252 (-1409 to -1110),-1252 (-1413 to -1109)
-826 (-876 to -784),-825 (-875 to -782)
-889 (-965 to -826),-889 (-962 to -824)
-925 (-1018 to -852),-925 (-1011 to -851)
426 (280 to 583),427 (278 to 591)
363 (226 to 514),363 (223 to 523)
327 (188 to 469),327 (188 to 470)
-64 (-123 to -15),-64 (-123 to -14)
-100 (-188 to -22),-100 (-183 to -24)
-36 (-120 to 42),-36 (-121 to 40)
-511 (-575 to -453),-512 (-578 to -453)
-337 (-358 to -320),-337 (-358 to -320)
-363 (-394 to -337),-363 (-393 to -337)
-377 (-415 to -348),-378 (-413 to -348)
174 (114 to 238),174 (114 to 242)
148 (92 to 210),148 (91 to 214)
133 (77 to 191),134 (77 to 192)
-26 (-50 to -6),-26 (-50 to -6)
-41 (-77 to -9),-41 (-75 to -10)
-15 (-49 to 17),-15 (-49 to 17)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 89),95 (87 to 102)
85 (79 to 92),98 (91 to 105)
76 (71 to 81),88 (82 to 93)
50 (42 to 57),57 (49 to 65)
53 (46 to 60),60 (52 to 69)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-4 to 11),3 (-5 to 12)
17.77,20.52
13.76,15.76
16.24,18.43
40.5,47.51
22.75,27.37
-8.91,-8.6
43.55,50.19
33.73,38.56
39.82,45.08
99.29,116.22
55.78,66.96
-21.85,-21.05
