Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (25 to 36),30 (25 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
26 (14 to 38),26 (14 to 38)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
74 (62 to 86),74 (62 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 26),20 (14 to 26)
15 (8 to 21),15 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-1 to 0)
-1252 (-1397 to -1107),-1250 (-1401 to -1108)
-826 (-876 to -785),-824 (-877 to -785)
-869 (-937 to -815),-868 (-932 to -814)
-831 (-885 to -788),-829 (-885 to -787)
426 (281 to 570),425 (285 to 575)
383 (249 to 523),382 (251 to 526)
421 (280 to 570),421 (278 to 572)
-44 (-92 to -7),-43 (-92 to -8)
-5 (-57 to 48),-5 (-53 to 47)
39 (-21 to 103),39 (-24 to 98)
-511 (-570 to -452),-511 (-573 to -453)
-337 (-357 to -320),-337 (-359 to -321)
-355 (-382 to -333),-355 (-381 to -333)
-339 (-361 to -321),-339 (-362 to -322)
174 (115 to 233),174 (117 to 235)
156 (102 to 214),156 (103 to 215)
172 (114 to 233),172 (114 to 234)
-18 (-38 to -3),-18 (-38 to -3)
-2 (-23 to 20),-2 (-22 to 19)
16 (-9 to 42),16 (-10 to 40)
34 (30 to 38),39 (35 to 44)
108 (104 to 111),125 (120 to 129)
85 (79 to 92),98 (91 to 106)
105 (100 to 109),120 (115 to 125)
74 (69 to 79),86 (79 to 91)
51 (44 to 59),59 (51 to 67)
71 (65 to 77),81 (74 to 88)
-23 (-28 to -17),-27 (-33 to -20)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.39,20.15
13.43,15.43
16.86,19.21
52.26,61.75
63.18,103.27
50.87,56.67
42.64,49.28
32.91,37.74
41.34,47
128.1,151.04
154.87,252.61
124.71,138.61
