Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
92 (85 to 98),92 (85 to 98)
82 (71 to 91),82 (71 to 91)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
8 (2 to 15),8 (2 to 15)
18 (9 to 29),18 (9 to 29)
24 (13 to 35),24 (13 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (14 to 27),20 (14 to 27)
13 (7 to 20),13 (7 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-8 to -4)
-5 (-7 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1244 (-1398 to -1102),-1240 (-1395 to -1103)
-827 (-874 to -787),-825 (-875 to -786)
-891 (-964 to -828),-889 (-959 to -829)
-926 (-1014 to -854),-925 (-1011 to -850)
417 (276 to 575),415 (276 to 565)
353 (218 to 499),351 (212 to 496)
317 (192 to 466),315 (186 to 462)
-64 (-122 to -19),-64 (-123 to -17)
-100 (-184 to -24),-99 (-186 to -23)
-36 (-119 to 36),-36 (-122 to 42)
-507 (-570 to -450),-507 (-570 to -451)
-337 (-357 to -321),-337 (-358 to -321)
-363 (-393 to -338),-363 (-392 to -339)
-378 (-413 to -348),-378 (-413 to -348)
170 (113 to 234),170 (113 to 231)
144 (89 to 204),144 (87 to 203)
130 (78 to 190),129 (76 to 189)
-26 (-50 to -8),-26 (-50 to -7)
-41 (-75 to -10),-41 (-76 to -9)
-14 (-49 to 15),-15 (-50 to 17)
31 (27 to 35),36 (32 to 41)
108 (104 to 112),125 (120 to 129)
82 (75 to 88),94 (86 to 102)
85 (79 to 91),97 (90 to 105)
77 (72 to 82),89 (83 to 95)
51 (43 to 58),58 (49 to 67)
54 (46 to 61),62 (53 to 70)
-26 (-32 to -21),-31 (-38 to -24)
-23 (-29 to -17),-27 (-35 to -20)
3 (-4 to 12),3 (-5 to 13)
18.42,21.4
14.39,16.58
17.07,19.5
40.64,47.98
22.75,27.43
-9.52,-9.2
45.17,52.35
35.27,40.55
41.84,47.69
99.64,117.36
55.78,67.1
-23.35,-22.49
