Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
12 (8 to 17),12 (8 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (71 to 92),82 (71 to 92)
76 (64 to 88),76 (64 to 88)
88 (83 to 92),88 (83 to 92)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (8 to 29),18 (8 to 29)
24 (12 to 36),24 (12 to 36)
19 (14 to 23),19 (14 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 4),2 (1 to 4)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (6 to 12),8 (6 to 12)
20 (14 to 27),20 (14 to 27)
14 (7 to 20),14 (7 to 20)
34 (28 to 41),34 (28 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (15 to 27),20 (15 to 27)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1245 (-1399 to -1097),-1242 (-1393 to -1101)
-827 (-874 to -787),-826 (-876 to -784)
-891 (-964 to -827),-890 (-965 to -825)
-926 (-1019 to -849),-925 (-1015 to -851)
417 (273 to 579),416 (277 to 574)
354 (222 to 510),352 (216 to 500)
318 (187 to 473),317 (187 to 463)
-64 (-125 to -14),-64 (-123 to -14)
-99 (-183 to -24),-99 (-182 to -24)
-36 (-121 to 42),-35 (-116 to 43)
-508 (-571 to -447),-508 (-570 to -450)
-337 (-357 to -321),-338 (-358 to -321)
-363 (-393 to -337),-364 (-394 to -337)
-378 (-416 to -347),-378 (-415 to -348)
170 (111 to 236),170 (113 to 235)
144 (90 to 208),144 (88 to 204)
130 (76 to 193),130 (76 to 189)
-26 (-51 to -6),-26 (-50 to -6)
-40 (-75 to -10),-40 (-74 to -10)
-14 (-50 to 17),-14 (-47 to 17)
32 (28 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 89),94 (87 to 102)
85 (79 to 92),97 (90 to 105)
76 (70 to 81),88 (81 to 94)
50 (43 to 57),57 (49 to 66)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-30 to -16),-27 (-35 to -20)
3 (-4 to 11),3 (-6 to 12)
18.16,21.05
14.04,16.16
16.67,18.99
41.05,48
22.94,27.68
-9.56,-9.46
44.52,51.5
34.41,39.54
40.86,46.44
100.63,117.4
56.22,67.72
-23.45,-23.14
