Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
29 (24 to 34),29 (24 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 4),3 (1 to 4)
2 (0 to 3),2 (0 to 3)
13 (8 to 17),13 (8 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
92 (84 to 98),92 (84 to 98)
82 (72 to 92),82 (72 to 92)
76 (64 to 87),76 (64 to 87)
87 (83 to 92),87 (83 to 92)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 28),18 (8 to 28)
24 (13 to 36),24 (13 to 36)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 11),8 (5 to 11)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 20),14 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1254 (-1411 to -1108),-1250 (-1401 to -1107)
-828 (-879 to -785),-826 (-877 to -784)
-890 (-962 to -823),-889 (-960 to -821)
-929 (-1016 to -852),-927 (-1009 to -852)
426 (286 to 576),424 (283 to 569)
363 (225 to 508),361 (223 to 500)
325 (183 to 466),323 (181 to 465)
-63 (-120 to -13),-63 (-121 to -13)
-101 (-187 to -28),-101 (-189 to -26)
-38 (-123 to 46),-39 (-123 to 44)
-511 (-576 to -452),-511 (-573 to -453)
-338 (-358 to -320),-338 (-359 to -320)
-363 (-393 to -336),-363 (-393 to -336)
-379 (-415 to -348),-379 (-413 to -348)
174 (117 to 235),173 (116 to 233)
148 (92 to 207),148 (91 to 205)
132 (75 to 190),132 (74 to 190)
-26 (-49 to -6),-26 (-49 to -5)
-41 (-76 to -12),-41 (-77 to -11)
-16 (-50 to 19),-16 (-50 to 18)
32 (28 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (76 to 88),94 (87 to 102)
85 (79 to 91),97 (90 to 104)
76 (70 to 80),87 (81 to 93)
50 (42 to 57),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-31 to -20),-30 (-37 to -24)
-23 (-30 to -16),-27 (-36 to -20)
3 (-5 to 11),3 (-6 to 12)
17.76,20.62
13.68,15.75
16.27,18.58
41.37,48.66
22.53,27.1
-8.31,-7.93
43.54,50.43
33.53,38.53
39.9,45.45
101.42,119.01
55.24,66.29
-20.36,-19.4
