Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (15 to 37),25 (15 to 37)
92 (85 to 98),92 (85 to 98)
85 (75 to 94),85 (75 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 85),75 (63 to 85)
8 (2 to 15),8 (2 to 15)
15 (6 to 25),15 (6 to 25)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (7 to 15),11 (7 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-8 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1251 (-1397 to -1103),-1249 (-1403 to -1107)
-826 (-877 to -783),-825 (-874 to -785)
-869 (-935 to -813),-868 (-935 to -812)
-831 (-884 to -787),-830 (-879 to -788)
425 (274 to 581),424 (282 to 582)
381 (239 to 531),381 (244 to 531)
420 (273 to 572),419 (273 to 561)
-44 (-93 to -8),-43 (-93 to -8)
-6 (-54 to 44),-5 (-56 to 45)
38 (-23 to 107),38 (-25 to 107)
-510 (-570 to -450),-511 (-574 to -453)
-337 (-358 to -319),-337 (-357 to -321)
-355 (-381 to -332),-355 (-382 to -332)
-339 (-361 to -321),-339 (-359 to -322)
173 (112 to 237),173 (115 to 238)
156 (98 to 216),156 (100 to 217)
171 (112 to 233),171 (112 to 230)
-18 (-38 to -3),-18 (-38 to -3)
-2 (-22 to 18),-2 (-23 to 18)
16 (-10 to 44),16 (-10 to 44)
32 (28 to 36),37 (33 to 42)
108 (104 to 112),125 (120 to 129)
85 (78 to 92),98 (90 to 105)
105 (100 to 109),120 (114 to 125)
76 (71 to 81),87 (81 to 94)
53 (46 to 60),60 (52 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-29 to -17),-27 (-34 to -21)
-3 (-8 to 2),-5 (-11 to 1)
20 (13 to 27),22 (14 to 30)
17.77,20.58
13.83,15.88
17.24,19.64
52.21,61.97
58.23,96.5
51.34,57.27
43.57,50.33
33.9,38.83
42.26,48.03
128,151.59
142.76,236.04
125.86,140.08
