Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 50),43 (37 to 50)
26 (15 to 37),26 (15 to 37)
92 (84 to 98),92 (84 to 98)
82 (72 to 92),82 (72 to 92)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (50 to 63),57 (50 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 28),18 (8 to 28)
24 (13 to 35),24 (13 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 3),2 (1 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (6 to 12),8 (6 to 12)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1251 (-1415 to -1110),-1250 (-1409 to -1105)
-829 (-885 to -787),-827 (-882 to -785)
-891 (-968 to -828),-889 (-963 to -825)
-928 (-1015 to -850),-927 (-1013 to -852)
422 (276 to 580),423 (275 to 579)
360 (226 to 505),360 (224 to 510)
322 (193 to 469),322 (191 to 469)
-62 (-124 to -18),-62 (-123 to -15)
-100 (-183 to -20),-100 (-187 to -22)
-37 (-112 to 45),-38 (-118 to 44)
-510 (-577 to -453),-511 (-576 to -452)
-338 (-361 to -321),-338 (-361 to -321)
-363 (-395 to -338),-364 (-394 to -337)
-379 (-414 to -347),-379 (-414 to -348)
172 (112 to 237),173 (112 to 237)
147 (92 to 206),147 (92 to 208)
132 (79 to 191),132 (78 to 192)
-25 (-50 to -7),-25 (-50 to -6)
-41 (-75 to -8),-41 (-77 to -9)
-15 (-46 to 18),-16 (-48 to 18)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (120 to 129)
82 (75 to 88),94 (86 to 102)
85 (79 to 92),98 (90 to 105)
76 (71 to 81),87 (81 to 94)
50 (42 to 57),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.94,20.7
13.83,15.83
16.45,18.68
41.64,48.84
22.76,27.17
-8.83,-8.39
43.98,50.63
33.91,38.72
40.33,45.7
102.08,119.46
55.8,66.46
-21.64,-20.51
