Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22)
62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72),62 (53 to 72)
44 (34 to 53),44 (34 to 53),44 (34 to 53),44 (34 to 53),44 (34 to 53),44 (34 to 53),44 (34 to 53)
35 (26 to 44),35 (26 to 44),35 (26 to 44),35 (26 to 44),35 (26 to 44),35 (26 to 44),35 (26 to 44)
13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20)
55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65)
31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41)
23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32)
75 (54 to 92),75 (54 to 92),75 (54 to 92),75 (54 to 92),75 (54 to 92),75 (54 to 92),75 (54 to 92)
7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21)
6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19)
13 (0 to 28),13 (0 to 28),13 (0 to 28),13 (0 to 28),13 (0 to 28),13 (0 to 28),13 (0 to 28)
47 (36 to 58),47 (36 to 58),47 (36 to 58),47 (36 to 58),47 (36 to 58),47 (36 to 58),47 (36 to 58)
29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40)
20 (10 to 31),20 (10 to 31),20 (10 to 31),20 (10 to 31),20 (10 to 31),20 (10 to 31),20 (10 to 31)
-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9)
-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17)
-8 (-14 to -4),-8 (-14 to -4),-8 (-14 to -4),-8 (-14 to -4),-8 (-14 to -4),-8 (-14 to -4),-8 (-14 to -4)
19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-7 (-10 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-10 to -3)
-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3)
0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
468 (221 to 760),424 (202 to 682),412 (185 to 669),444 (203 to 719),404 (189 to 654),449 (212 to 727),446 (206 to 713)
472 (230 to 735),428 (203 to 682),416 (201 to 667),448 (217 to 711),408 (192 to 642),453 (215 to 713),450 (221 to 691)
424 (195 to 692),385 (171 to 629),374 (163 to 615),402 (183 to 654),367 (165 to 594),408 (180 to 661),405 (182 to 660)
4 (-81 to 97),4 (-74 to 91),4 (-71 to 85),4 (-79 to 92),4 (-70 to 84),4 (-76 to 94),4 (-77 to 88)
-44 (-164 to 62),-39 (-147 to 59),-38 (-142 to 54),-42 (-153 to 57),-37 (-139 to 51),-42 (-154 to 59),-41 (-153 to 54)
-48 (-149 to 0),-43 (-129 to 0),-42 (-127 to 0),-46 (-136 to 0),-41 (-124 to 0),-46 (-138 to 0),-45 (-141 to 0)
188 (89 to 305),176 (84 to 283),174 (78 to 283),182 (83 to 295),171 (80 to 277),183 (87 to 297),182 (84 to 291)
189 (92 to 295),178 (84 to 283),176 (85 to 282),184 (89 to 292),173 (81 to 271),185 (88 to 291),184 (90 to 282)
170 (78 to 277),160 (71 to 262),158 (69 to 260),165 (75 to 268),155 (70 to 251),166 (73 to 270),166 (74 to 270)
2 (-33 to 39),2 (-31 to 38),2 (-30 to 36),2 (-32 to 38),2 (-30 to 35),2 (-31 to 38),2 (-32 to 36)
-18 (-66 to 25),-16 (-61 to 25),-16 (-60 to 23),-17 (-63 to 24),-16 (-59 to 21),-17 (-63 to 24),-17 (-63 to 22)
-19 (-60 to 0),-18 (-54 to 0),-18 (-54 to 0),-19 (-56 to 0),-17 (-52 to 0),-19 (-56 to 0),-18 (-58 to 0)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),32 (26 to 39),38 (30 to 46)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),106 (98 to 114),122 (112 to 131)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),111 (104 to 118),128 (120 to 136)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),87 (76 to 98),101 (88 to 113)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),74 (63 to 84),84 (72 to 96)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),78 (69 to 88),91 (80 to 102)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),55 (42 to 67),63 (48 to 77)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),4 (-4 to 13),6 (-3 to 16)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-19 (-31 to -8),-21 (-35 to -8)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-24 (-34 to -14),-28 (-40 to -17)
0,0,0,0,0,16.45,18.88
0,0,0,0,0,17.28,20.13
0,0,0,0,0,13.43,15.52
0,0,0,0,0,112.86,153.58
0,0,0,0,0,46.06,51.95
0,0,0,0,0,51.74,61.39
0,0,0,0,0,40.33,46.17
0,0,0,0,0,42.35,49.24
0,0,0,0,0,32.92,37.97
0,0,0,0,0,276.68,375.66
0,0,0,0,0,112.91,127.07
0,0,0,0,0,126.84,150.16
