Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (15 to 37),25 (15 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (85 to 98),92 (85 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 85),75 (63 to 85)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 15),8 (2 to 15)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 26),20 (14 to 26)
14 (8 to 21),14 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 34),28 (23 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1251 (-1405 to -1104),-1249 (-1413 to -1104)
-826 (-873 to -784),-823 (-873 to -784)
-869 (-936 to -813),-867 (-933 to -809)
-830 (-878 to -785),-828 (-877 to -785)
426 (280 to 575),425 (280 to 578)
382 (237 to 525),381 (240 to 521)
421 (276 to 572),420 (276 to 572)
-44 (-97 to -7),-44 (-92 to -7)
-5 (-57 to 45),-5 (-61 to 44)
39 (-22 to 108),39 (-19 to 106)
-510 (-573 to -450),-511 (-578 to -451)
-337 (-356 to -320),-337 (-357 to -321)
-355 (-382 to -332),-355 (-381 to -331)
-339 (-358 to -320),-339 (-359 to -321)
174 (114 to 234),174 (114 to 236)
156 (97 to 214),156 (98 to 213)
172 (113 to 233),172 (113 to 234)
-18 (-40 to -3),-18 (-38 to -3)
-2 (-23 to 18),-2 (-25 to 18)
16 (-9 to 44),16 (-8 to 44)
32 (28 to 36),37 (33 to 42)
108 (104 to 111),125 (121 to 129)
85 (79 to 92),98 (90 to 106)
105 (100 to 110),120 (114 to 126)
76 (70 to 81),87 (81 to 93)
53 (45 to 60),61 (52 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-34 to -20)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 26),22 (14 to 30)
17.75,20.52
13.82,15.87
17.19,19.58
52.04,60.87
66.95,98.43
50.2,55.97
43.51,50.19
33.88,38.82
42.13,47.89
127.56,148.9
164.14,240.76
123.07,136.91
