Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
25 (15 to 36),25 (15 to 36)
92 (84 to 98),92 (84 to 98)
82 (71 to 92),82 (71 to 92)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
75 (64 to 85),75 (64 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 29),18 (8 to 29)
24 (13 to 35),24 (13 to 35)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 27),20 (13 to 27)
13 (7 to 20),13 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 21),14 (7 to 21)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1250 (-1410 to -1112),-1249 (-1411 to -1112)
-827 (-880 to -786),-827 (-879 to -783)
-893 (-968 to -826),-892 (-967 to -824)
-927 (-1013 to -850),-926 (-1013 to -850)
422 (281 to 584),422 (280 to 584)
357 (219 to 510),357 (219 to 513)
323 (192 to 474),323 (184 to 474)
-65 (-127 to -14),-65 (-127 to -13)
-99 (-186 to -22),-99 (-186 to -24)
-34 (-121 to 44),-34 (-121 to 44)
-510 (-575 to -454),-511 (-577 to -455)
-338 (-359 to -321),-338 (-359 to -320)
-364 (-395 to -337),-365 (-395 to -337)
-378 (-413 to -347),-378 (-414 to -347)
172 (115 to 238),172 (115 to 239)
146 (89 to 208),146 (90 to 210)
132 (78 to 193),132 (75 to 194)
-27 (-52 to -6),-26 (-52 to -5)
-40 (-76 to -9),-40 (-76 to -10)
-14 (-49 to 18),-14 (-49 to 18)
32 (28 to 36),37 (33 to 42)
108 (104 to 111),125 (121 to 129)
82 (75 to 88),94 (87 to 101)
85 (79 to 92),98 (90 to 105)
76 (71 to 81),87 (82 to 93)
49 (42 to 56),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
4 (-4 to 11),3 (-5 to 13)
17.89,20.69
13.83,15.84
16.39,18.59
40.13,47.39
22.76,27.54
-10.43,-10.21
43.84,50.6
33.89,38.76
40.17,45.47
98.38,115.92
55.8,67.37
-25.56,-24.97
