Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (30 to 41),35 (30 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (8 to 17),13 (8 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
26 (15 to 39),26 (15 to 39)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 92),87 (83 to 92)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
74 (61 to 85),74 (61 to 85)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (1 to 3),2 (1 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 18),15 (11 to 18)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-9 to -3),-6 (-9 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 35),28 (23 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1252 (-1404 to -1110),-1250 (-1415 to -1111)
-826 (-877 to -784),-825 (-877 to -781)
-870 (-940 to -812),-869 (-943 to -808)
-831 (-885 to -786),-829 (-886 to -785)
426 (283 to 588),425 (288 to 584)
382 (240 to 540),381 (244 to 541)
421 (273 to 575),421 (280 to 578)
-44 (-96 to -3),-44 (-94 to -6)
-4 (-54 to 44),-4 (-57 to 46)
39 (-22 to 112),39 (-23 to 109)
-511 (-573 to -453),-511 (-578 to -454)
-337 (-358 to -320),-337 (-359 to -319)
-355 (-384 to -331),-355 (-385 to -330)
-339 (-361 to -321),-339 (-362 to -321)
174 (115 to 240),174 (118 to 239)
156 (98 to 220),156 (100 to 221)
172 (111 to 235),172 (115 to 236)
-18 (-39 to -1),-18 (-38 to -2)
-2 (-22 to 18),-2 (-23 to 19)
16 (-9 to 46),16 (-9 to 44)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
76 (70 to 81),87 (81 to 93)
53 (46 to 60),60 (52 to 68)
72 (66 to 78),82 (75 to 89)
-23 (-28 to -17),-27 (-33 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.75,20.52
13.82,15.86
17.2,19.59
52.21,60.89
71.72,107.74
50.11,55.59
43.51,50.19
33.87,38.8
42.17,47.92
127.99,148.94
175.81,263.54
122.83,135.97
