Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (8 to 21),15 (8 to 21),15 (8 to 21),15 (8 to 21),15 (8 to 21),15 (8 to 21),15 (8 to 21)
63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72)
44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54),44 (33 to 54)
35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45)
12 (6 to 20),12 (6 to 20),12 (6 to 20),12 (6 to 20),12 (6 to 20),12 (6 to 20),12 (6 to 20)
55 (44 to 67),55 (44 to 67),55 (44 to 67),55 (44 to 67),55 (44 to 67),55 (44 to 67),55 (44 to 67)
31 (21 to 42),31 (21 to 42),31 (21 to 42),31 (21 to 42),31 (21 to 42),31 (21 to 42),31 (21 to 42)
23 (13 to 32),23 (13 to 32),23 (13 to 32),23 (13 to 32),23 (13 to 32),23 (13 to 32),23 (13 to 32)
74 (54 to 93),74 (54 to 93),74 (54 to 93),74 (54 to 93),74 (54 to 93),74 (54 to 93),74 (54 to 93)
7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21)
6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19)
13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31)
48 (37 to 59),48 (37 to 59),48 (37 to 59),48 (37 to 59),48 (37 to 59),48 (37 to 59),48 (37 to 59)
29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40)
20 (11 to 31),20 (11 to 31),20 (11 to 31),20 (11 to 31),20 (11 to 31),20 (11 to 31),20 (11 to 31)
-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8)
-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 13),12 (11 to 14),12 (11 to 13)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-6 (-10 to -2),-6 (-10 to -3),-6 (-10 to -2),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -2),-6 (-10 to -2)
0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-2 to 1),0 (-1 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 3),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
464 (215 to 769),419 (202 to 671),408 (193 to 670),437 (198 to 713),400 (191 to 644),442 (197 to 723),443 (212 to 731)
471 (228 to 767),425 (200 to 667),414 (193 to 665),443 (208 to 701),406 (191 to 647),448 (209 to 718),449 (213 to 724)
421 (173 to 699),381 (163 to 623),370 (148 to 620),396 (166 to 664),364 (155 to 609),401 (159 to 672),402 (165 to 662)
7 (-83 to 102),6 (-73 to 92),6 (-70 to 92),6 (-78 to 95),6 (-70 to 86),7 (-73 to 101),6 (-78 to 96)
-43 (-168 to 65),-39 (-147 to 63),-38 (-144 to 61),-41 (-166 to 63),-37 (-147 to 60),-40 (-159 to 67),-41 (-164 to 63)
-50 (-152 to 0),-45 (-140 to 0),-44 (-128 to 0),-47 (-141 to 0),-42 (-126 to 0),-47 (-143 to 0),-47 (-141 to 0)
186 (86 to 309),174 (84 to 279),172 (81 to 283),179 (81 to 292),169 (81 to 272),180 (80 to 295),181 (87 to 299)
189 (91 to 308),177 (83 to 277),175 (81 to 281),182 (85 to 287),172 (81 to 274),183 (85 to 293),184 (87 to 296)
169 (69 to 280),158 (68 to 259),156 (62 to 262),162 (68 to 272),154 (65 to 258),164 (65 to 274),164 (67 to 271)
3 (-33 to 41),3 (-30 to 38),3 (-30 to 39),2 (-32 to 39),2 (-30 to 36),3 (-30 to 41),2 (-32 to 39)
-17 (-67 to 26),-16 (-61 to 26),-16 (-61 to 26),-17 (-68 to 26),-15 (-62 to 26),-16 (-65 to 27),-17 (-67 to 26)
-20 (-61 to 0),-19 (-58 to 0),-18 (-54 to 0),-19 (-58 to 0),-18 (-53 to 0),-19 (-58 to 0),-19 (-58 to 0)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),32 (26 to 39),37 (30 to 45)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),106 (98 to 115),122 (112 to 132)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),111 (103 to 119),128 (120 to 137)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),87 (75 to 99),100 (87 to 113)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),74 (63 to 84),84 (72 to 97)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),79 (69 to 89),91 (80 to 102)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),55 (42 to 67),63 (48 to 77)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),4 (-4 to 13),6 (-3 to 16)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-19 (-32 to -8),-22 (-36 to -7)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-24 (-34 to -14),-28 (-40 to -17)
0,0,0,0,0,16.78,19.04
0,0,0,0,0,17.51,20.23
0,0,0,0,0,13.62,15.62
0,0,0,0,0,66.29,107.16
0,0,0,0,0,48.06,52.26
0,0,0,0,0,50.64,59.25
0,0,0,0,0,41.13,46.58
0,0,0,0,0,42.93,49.48
0,0,0,0,0,33.4,38.22
0,0,0,0,0,162.51,262.11
0,0,0,0,0,117.82,127.83
0,0,0,0,0,124.14,144.93
