Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 21),17 (12 to 21)
50 (44 to 56),50 (44 to 56)
25 (14 to 37),25 (14 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (79 to 88),83 (79 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 86),75 (63 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 27),20 (14 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1252 (-1410 to -1112),-1248 (-1408 to -1112)
-826 (-876 to -784),-824 (-878 to -782)
-870 (-939 to -811),-868 (-938 to -811)
-832 (-885 to -788),-830 (-887 to -784)
426 (281 to 587),424 (278 to 585)
382 (240 to 543),381 (239 to 540)
420 (275 to 583),419 (278 to 576)
-44 (-93 to -9),-43 (-93 to -8)
-6 (-59 to 45),-5 (-58 to 46)
38 (-26 to 109),38 (-25 to 104)
-511 (-575 to -454),-510 (-576 to -455)
-337 (-357 to -320),-337 (-359 to -320)
-355 (-383 to -331),-355 (-383 to -332)
-339 (-361 to -322),-339 (-363 to -320)
174 (115 to 239),173 (114 to 239)
156 (98 to 222),156 (98 to 221)
171 (112 to 238),171 (114 to 235)
-18 (-38 to -3),-18 (-38 to -3)
-2 (-24 to 18),-2 (-24 to 19)
15 (-11 to 45),16 (-10 to 43)
32 (29 to 36),37 (33 to 42)
108 (104 to 111),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
76 (70 to 81),87 (81 to 93)
53 (46 to 60),60 (52 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-29 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 26),22 (14 to 30)
17.73,20.59
13.79,15.88
17.21,19.66
51.93,61.8
53.49,91.88
51.68,57.47
43.45,50.37
33.8,38.85
42.19,48.09
127.31,151.16
131.13,224.73
126.7,140.58
