Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 34),29 (24 to 34)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (84 to 98),92 (84 to 98)
82 (71 to 92),82 (71 to 92)
77 (64 to 86),77 (64 to 86)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 29),18 (8 to 29)
23 (14 to 36),23 (14 to 36)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (10 to 18),14 (10 to 18)
8 (6 to 11),8 (6 to 11)
20 (13 to 27),20 (13 to 27)
14 (7 to 21),14 (7 to 21)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 21),14 (7 to 21)
20 (14 to 27),20 (14 to 27)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 15)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1248 (-1408 to -1104),-1247 (-1409 to -1103)
-829 (-882 to -786),-827 (-886 to -786)
-892 (-968 to -827),-891 (-969 to -825)
-927 (-1016 to -856),-926 (-1018 to -852)
419 (275 to 570),420 (282 to 570)
356 (216 to 502),356 (223 to 504)
321 (188 to 461),321 (195 to 461)
-63 (-126 to -13),-64 (-124 to -13)
-98 (-179 to -21),-99 (-183 to -20)
-35 (-118 to 41),-35 (-118 to 43)
-509 (-574 to -450),-510 (-576 to -451)
-338 (-360 to -321),-338 (-362 to -321)
-364 (-395 to -337),-364 (-396 to -337)
-378 (-415 to -349),-378 (-416 to -348)
171 (112 to 232),172 (115 to 233)
145 (88 to 205),146 (91 to 206)
131 (76 to 188),131 (80 to 189)
-26 (-52 to -5),-26 (-51 to -5)
-40 (-73 to -9),-40 (-75 to -8)
-14 (-48 to 17),-14 (-48 to 17)
32 (28 to 36),37 (33 to 42)
108 (104 to 111),125 (120 to 129)
82 (75 to 88),94 (87 to 102)
85 (79 to 91),98 (90 to 105)
75 (70 to 81),87 (81 to 93)
50 (42 to 57),57 (48 to 66)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -20),-30 (-37 to -24)
-22 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 13)
18,20.77
13.94,15.96
16.52,18.74
40.78,47.66
22.84,27.38
-9.74,-9.48
44.13,50.8
34.18,39.04
40.5,45.83
99.97,116.57
55.98,66.96
-23.87,-23.2
