Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (29 to 42),35 (29 to 42)
30 (24 to 36),30 (24 to 36)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
26 (15 to 38),26 (15 to 38)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
74 (62 to 85),74 (62 to 85)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
14 (11 to 19),14 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
15 (8 to 22),15 (8 to 22)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1251 (-1417 to -1102),-1248 (-1414 to -1093)
-824 (-874 to -782),-823 (-875 to -782)
-869 (-933 to -814),-867 (-933 to -812)
-829 (-883 to -785),-828 (-882 to -781)
427 (268 to 589),425 (274 to 592)
382 (235 to 543),381 (234 to 540)
422 (273 to 588),420 (268 to 586)
-45 (-94 to -8),-44 (-93 to -8)
-5 (-60 to 43),-5 (-56 to 46)
40 (-19 to 105),39 (-22 to 104)
-510 (-578 to -449),-510 (-578 to -447)
-336 (-357 to -319),-337 (-358 to -320)
-354 (-381 to -332),-355 (-381 to -332)
-338 (-360 to -320),-338 (-361 to -319)
174 (109 to 240),174 (112 to 242)
156 (96 to 221),156 (96 to 221)
172 (111 to 240),172 (110 to 240)
-18 (-38 to -3),-18 (-38 to -3)
-2 (-24 to 18),-2 (-23 to 19)
16 (-8 to 43),16 (-9 to 43)
32 (29 to 36),38 (33 to 42)
108 (104 to 111),125 (121 to 129)
85 (78 to 92),98 (90 to 106)
105 (100 to 109),120 (114 to 125)
75 (70 to 80),87 (81 to 93)
53 (46 to 60),60 (52 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-34 to -21)
-3 (-8 to 2),-5 (-10 to 1)
20 (13 to 27),22 (14 to 30)
17.68,20.49
13.77,15.82
17.14,19.56
51.12,60.97
65.06,105.19
49.45,55.76
43.33,50.12
33.75,38.68
42.01,47.84
125.33,149.14
159.49,257.29
121.23,136.4
