Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (15 to 37),25 (15 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (83 to 98),92 (83 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 85),75 (63 to 85)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 17),8 (2 to 17)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 27),20 (14 to 27)
15 (8 to 21),15 (8 to 21)
43 (37 to 50),43 (37 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 28),23 (16 to 28)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1254 (-1400 to -1109),-1252 (-1398 to -1107)
-825 (-876 to -784),-824 (-874 to -785)
-868 (-935 to -813),-867 (-932 to -812)
-830 (-881 to -787),-829 (-881 to -788)
429 (280 to 581),428 (288 to 577)
385 (251 to 534),385 (249 to 532)
424 (274 to 584),423 (275 to 578)
-43 (-91 to -7),-43 (-91 to -8)
-5 (-53 to 46),-5 (-56 to 45)
39 (-24 to 104),38 (-23 to 104)
-511 (-571 to -452),-512 (-571 to -453)
-337 (-358 to -320),-337 (-357 to -321)
-354 (-381 to -332),-354 (-381 to -332)
-338 (-359 to -321),-339 (-360 to -322)
175 (114 to 237),175 (118 to 236)
157 (102 to 218),157 (102 to 217)
173 (112 to 238),173 (113 to 236)
-18 (-37 to -3),-18 (-37 to -3)
-2 (-22 to 19),-2 (-23 to 18)
16 (-10 to 43),16 (-9 to 43)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 130)
85 (79 to 92),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
76 (70 to 81),87 (81 to 93)
53 (46 to 60),61 (53 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-34 to -20)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 26),22 (14 to 30)
17.65,20.44
13.71,15.74
17.09,19.5
52.64,62.43
68.16,99.95
50.77,57.49
43.26,50
33.6,38.5
41.9,47.7
129.05,152.7
167.1,244.47
124.46,140.62
