Uganda,Zambia
15 (12 to 19),15 (12 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
25 (14 to 38),25 (14 to 38)
92 (84 to 98),92 (84 to 98)
82 (72 to 92),82 (72 to 92)
76 (65 to 86),76 (65 to 86)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
75 (62 to 86),75 (62 to 86)
8 (2 to 16),8 (2 to 16)
18 (8 to 28),18 (8 to 28)
24 (14 to 35),24 (14 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 26),20 (14 to 26)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 15)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1251 (-1410 to -1101),-1249 (-1413 to -1102)
-828 (-882 to -785),-827 (-880 to -786)
-891 (-973 to -826),-889 (-971 to -824)
-928 (-1014 to -859),-926 (-1016 to -853)
423 (271 to 582),422 (269 to 580)
360 (219 to 511),360 (225 to 505)
323 (193 to 475),323 (188 to 480)
-63 (-121 to -15),-63 (-124 to -17)
-100 (-192 to -29),-100 (-185 to -28)
-37 (-120 to 36),-37 (-114 to 41)
-510 (-575 to -449),-511 (-578 to -451)
-338 (-360 to -320),-338 (-360 to -321)
-363 (-397 to -337),-364 (-397 to -337)
-379 (-414 to -350),-379 (-415 to -349)
172 (111 to 237),173 (110 to 237)
147 (89 to 208),147 (92 to 207)
132 (79 to 194),132 (77 to 196)
-26 (-49 to -6),-26 (-51 to -7)
-41 (-78 to -12),-41 (-76 to -12)
-15 (-49 to 15),-15 (-47 to 17)
32 (28 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 89),94 (87 to 102)
85 (79 to 91),98 (90 to 105)
76 (70 to 81),87 (81 to 93)
50 (42 to 57),57 (48 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -21),-31 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.89,20.69
13.79,15.82
16.42,18.64
41.36,48.63
22.63,27.32
-8.94,-8.73
43.86,50.6
33.81,38.68
40.25,45.58
101.4,118.95
55.48,66.83
-21.92,-21.34
