Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 54),49 (43 to 54)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (96 to 99),97 (96 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 4),3 (1 to 4)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (84 to 98),92 (84 to 98)
82 (72 to 91),82 (72 to 91)
76 (64 to 87),76 (64 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 16),8 (2 to 16)
18 (9 to 28),18 (9 to 28)
24 (13 to 36),24 (13 to 36)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (68 to 79),74 (68 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 26),20 (13 to 26)
13 (7 to 20),13 (7 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (15 to 26),20 (15 to 26)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 15)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1244 (-1413 to -1103),-1242 (-1403 to -1102)
-828 (-882 to -786),-826 (-882 to -786)
-892 (-972 to -826),-890 (-968 to -827)
-927 (-1010 to -851),-925 (-1007 to -852)
416 (284 to 583),415 (277 to 575)
353 (214 to 506),352 (220 to 506)
318 (183 to 470),317 (185 to 474)
-63 (-124 to -18),-64 (-127 to -17)
-99 (-178 to -20),-98 (-179 to -24)
-35 (-108 to 39),-35 (-113 to 41)
-508 (-577 to -450),-508 (-574 to -450)
-338 (-360 to -321),-338 (-360 to -321)
-364 (-396 to -337),-364 (-396 to -338)
-378 (-412 to -347),-378 (-412 to -348)
170 (116 to 238),170 (113 to 235)
144 (87 to 207),144 (90 to 207)
130 (75 to 192),130 (76 to 194)
-26 (-50 to -7),-26 (-52 to -7)
-40 (-73 to -8),-40 (-73 to -10)
-14 (-44 to 16),-14 (-46 to 17)
32 (29 to 36),38 (33 to 42)
108 (104 to 111),125 (121 to 129)
82 (75 to 89),94 (87 to 102)
85 (79 to 91),97 (90 to 105)
75 (70 to 80),87 (81 to 93)
49 (42 to 57),57 (48 to 66)
53 (45 to 60),60 (51 to 68)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-30 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 13)
18.13,21
14.01,16.12
16.59,18.89
41.03,47.9
23.12,27.82
-9.32,-9.2
44.45,51.37
34.35,39.43
40.66,46.2
100.59,117.17
56.68,68.04
-22.84,-22.51
