Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (29 to 41),35 (29 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 21),17 (12 to 21)
50 (44 to 56),50 (44 to 56)
26 (14 to 37),26 (14 to 37)
92 (84 to 98),92 (84 to 98)
86 (75 to 95),86 (75 to 95)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (79 to 88),83 (79 to 88)
50 (44 to 56),50 (44 to 56)
74 (63 to 86),74 (63 to 86)
8 (2 to 16),8 (2 to 16)
14 (5 to 25),14 (5 to 25)
8 (2 to 16),8 (2 to 16)
19 (14 to 24),19 (14 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-5 (-8 to -3),-5 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-8 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-8 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1248 (-1412 to -1112),-1243 (-1391 to -1106)
-827 (-883 to -784),-824 (-875 to -783)
-869 (-941 to -812),-867 (-935 to -809)
-830 (-881 to -787),-827 (-878 to -784)
421 (281 to 580),419 (286 to 564)
378 (240 to 527),376 (241 to 514)
418 (282 to 580),416 (278 to 565)
-43 (-90 to -6),-43 (-92 to -6)
-3 (-56 to 51),-3 (-55 to 47)
40 (-25 to 111),40 (-21 to 108)
-509 (-576 to -453),-508 (-569 to -452)
-337 (-360 to -320),-337 (-358 to -320)
-355 (-384 to -331),-354 (-382 to -331)
-338 (-359 to -321),-338 (-359 to -321)
172 (115 to 237),171 (117 to 231)
154 (98 to 215),154 (98 to 210)
171 (115 to 236),170 (114 to 231)
-17 (-37 to -3),-18 (-37 to -2)
-1 (-23 to 21),-1 (-22 to 19)
16 (-10 to 45),16 (-9 to 44)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
76 (70 to 81),87 (81 to 94)
53 (46 to 60),60 (52 to 69)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-33 to -21)
-3 (-8 to 2),-5 (-10 to 0)
20 (13 to 26),22 (14 to 30)
17.94,20.84
13.95,16.08
17.3,19.79
53.25,62.56
112.18,161.62
49.03,54.83
43.99,50.97
34.2,39.33
42.41,48.39
130.54,153.03
275.01,395.32
120.2,134.11
