Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (23 to 34),29 (23 to 34)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 38),26 (15 to 38)
92 (84 to 98),92 (84 to 98)
82 (72 to 92),82 (72 to 92)
77 (65 to 87),77 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (62 to 85),74 (62 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 28),18 (8 to 28)
23 (13 to 35),23 (13 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 3),2 (1 to 3)
21 (17 to 26),21 (17 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (14 to 27),20 (14 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 20),14 (8 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1250 (-1416 to -1106),-1249 (-1414 to -1103)
-827 (-882 to -785),-826 (-882 to -784)
-892 (-964 to -829),-890 (-964 to -827)
-926 (-1008 to -852),-925 (-1005 to -850)
423 (286 to 585),422 (277 to 581)
358 (223 to 513),358 (229 to 510)
324 (192 to 465),324 (186 to 468)
-64 (-125 to -18),-64 (-122 to -18)
-99 (-187 to -21),-98 (-180 to -17)
-34 (-119 to 49),-34 (-117 to 49)
-510 (-578 to -451),-511 (-578 to -451)
-337 (-360 to -320),-338 (-361 to -320)
-364 (-393 to -338),-364 (-394 to -338)
-378 (-411 to -347),-378 (-411 to -347)
172 (117 to 238),173 (113 to 238)
146 (91 to 209),147 (94 to 208)
132 (78 to 190),132 (76 to 191)
-26 (-51 to -7),-26 (-50 to -7)
-40 (-76 to -9),-40 (-74 to -7)
-14 (-48 to 20),-14 (-48 to 20)
32 (29 to 36),37 (33 to 42)
108 (104 to 112),125 (121 to 129)
82 (75 to 88),94 (87 to 101)
85 (79 to 91),98 (90 to 105)
76 (71 to 81),87 (81 to 93)
50 (42 to 57),57 (48 to 65)
53 (46 to 60),60 (52 to 69)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.9,20.69
13.88,15.91
16.37,18.59
40.3,47.43
22.92,27.63
-9.58,-9.35
43.87,50.61
34.02,38.92
40.12,45.46
98.79,116
56.19,67.58
-23.49,-22.86
