Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
30 (24 to 35),30 (24 to 35)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (14 to 37),25 (14 to 37)
93 (85 to 98),93 (85 to 98)
86 (75 to 95),86 (75 to 95)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 86),75 (63 to 86)
7 (2 to 15),7 (2 to 15)
14 (5 to 25),14 (5 to 25)
8 (2 to 16),8 (2 to 16)
19 (14 to 23),19 (14 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 26),20 (14 to 26)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (23 to 34),28 (23 to 34)
19 (16 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-8 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1252 (-1402 to -1101),-1250 (-1397 to -1110)
-825 (-876 to -784),-823 (-872 to -784)
-868 (-935 to -811),-866 (-936 to -810)
-830 (-881 to -790),-829 (-880 to -787)
427 (276 to 580),427 (283 to 581)
384 (238 to 532),384 (241 to 538)
422 (273 to 567),422 (278 to 570)
-43 (-93 to -5),-43 (-95 to -6)
-5 (-54 to 46),-5 (-55 to 45)
38 (-21 to 109),38 (-20 to 107)
-511 (-572 to -449),-511 (-571 to -454)
-337 (-357 to -320),-337 (-357 to -320)
-354 (-381 to -331),-354 (-383 to -331)
-339 (-360 to -322),-339 (-360 to -322)
174 (112 to 236),175 (116 to 237)
157 (97 to 217),157 (98 to 220)
172 (111 to 231),172 (114 to 233)
-18 (-38 to -2),-18 (-39 to -2)
-2 (-22 to 19),-2 (-23 to 19)
15 (-9 to 45),15 (-8 to 44)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (78 to 92),98 (90 to 106)
105 (100 to 109),120 (114 to 125)
76 (70 to 81),87 (81 to 93)
53 (45 to 60),60 (52 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-29 to -17),-27 (-34 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 26),22 (14 to 30)
17.68,20.45
13.7,15.73
17.13,19.51
53.32,62.56
61.79,95.25
52.14,57.97
43.35,50.03
33.58,38.47
42,47.73
130.71,153.03
151.48,232.98
127.82,141.79
