Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 35),29 (24 to 35)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 98),97 (95 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 5),3 (2 to 5)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (84 to 98),92 (84 to 98)
82 (71 to 92),82 (71 to 92)
76 (64 to 87),76 (64 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 16),8 (2 to 16)
18 (8 to 29),18 (8 to 29)
24 (13 to 36),24 (13 to 36)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 26),21 (17 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (14 to 27),20 (14 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 41),34 (27 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 20),14 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1255 (-1406 to -1115),-1253 (-1405 to -1110)
-829 (-887 to -785),-828 (-879 to -785)
-892 (-972 to -826),-891 (-966 to -826)
-931 (-1018 to -857),-929 (-1009 to -859)
425 (284 to 582),425 (284 to 576)
363 (226 to 507),362 (219 to 509)
324 (188 to 471),324 (184 to 465)
-63 (-123 to -13),-63 (-122 to -13)
-101 (-181 to -20),-101 (-185 to -21)
-38 (-116 to 46),-38 (-117 to 48)
-512 (-574 to -455),-512 (-575 to -454)
-338 (-362 to -320),-338 (-359 to -321)
-364 (-396 to -337),-364 (-395 to -338)
-380 (-415 to -349),-380 (-412 to -351)
174 (116 to 238),174 (116 to 235)
148 (92 to 207),148 (90 to 208)
132 (77 to 192),132 (75 to 190)
-26 (-50 to -5),-26 (-50 to -5)
-41 (-74 to -8),-41 (-76 to -8)
-16 (-47 to 19),-16 (-48 to 20)
32 (29 to 36),37 (33 to 42)
108 (105 to 112),125 (121 to 129)
82 (76 to 88),94 (87 to 101)
85 (78 to 92),97 (90 to 105)
76 (70 to 80),87 (81 to 93)
50 (43 to 57),57 (49 to 65)
53 (46 to 60),60 (52 to 68)
-26 (-32 to -21),-30 (-37 to -24)
-23 (-30 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.79,20.59
13.71,15.74
16.33,18.54
41.28,48.62
22.44,27.17
-8.33,-8.09
43.6,50.36
33.61,38.49
40.03,45.35
101.2,118.92
55.02,66.46
-20.42,-19.79
