Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
25 (14 to 38),25 (14 to 38)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
75 (62 to 86),75 (62 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (14 to 27),20 (14 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 34),28 (22 to 34)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1251 (-1415 to -1103),-1247 (-1402 to -1099)
-826 (-875 to -785),-824 (-873 to -783)
-870 (-932 to -812),-867 (-933 to -809)
-831 (-883 to -790),-829 (-881 to -788)
425 (278 to 591),424 (274 to 579)
381 (240 to 533),381 (238 to 531)
420 (272 to 581),419 (269 to 584)
-44 (-92 to 0),-43 (-91 to 0)
-5 (-56 to 47),-5 (-57 to 44)
39 (-25 to 109),38 (-23 to 107)
-510 (-577 to -450),-510 (-573 to -449)
-337 (-357 to -320),-337 (-357 to -320)
-355 (-380 to -331),-354 (-382 to -331)
-339 (-360 to -322),-339 (-360 to -322)
173 (113 to 241),173 (112 to 237)
155 (98 to 217),156 (97 to 217)
171 (111 to 237),171 (110 to 239)
-18 (-37 to 0),-17 (-37 to 0)
-2 (-23 to 19),-2 (-23 to 18)
16 (-10 to 44),15 (-9 to 44)
32 (29 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (78 to 92),98 (90 to 105)
105 (100 to 110),120 (114 to 125)
76 (70 to 81),87 (81 to 93)
53 (45 to 60),60 (51 to 69)
72 (67 to 78),82 (76 to 89)
-23 (-28 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 26),22 (14 to 30)
17.81,20.62
13.82,15.85
17.26,19.67
52.67,63.08
63.71,98.6
51.23,58.29
43.65,50.44
33.89,38.78
42.31,48.12
129.11,154.3
156.19,241.17
125.59,142.58
