Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22)
63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72)
44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54)
36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45)
13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20)
55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66)
32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42)
23 (15 to 32),23 (15 to 32),23 (15 to 32),23 (15 to 32),23 (15 to 32),23 (15 to 32),23 (15 to 32)
75 (54 to 93),75 (54 to 93),75 (54 to 93),75 (54 to 93),75 (54 to 93),75 (54 to 93),75 (54 to 93)
7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20)
6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19),6 (0 to 19)
13 (0 to 30),13 (0 to 30),13 (0 to 30),13 (0 to 30),13 (0 to 30),13 (0 to 30),13 (0 to 30)
48 (37 to 58),48 (37 to 58),48 (37 to 58),48 (37 to 58),48 (37 to 58),48 (37 to 58),48 (37 to 58)
29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40)
21 (10 to 31),21 (10 to 31),21 (10 to 31),21 (10 to 31),21 (10 to 31),21 (10 to 31),21 (10 to 31)
-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8)
-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
19 (15 to 23),19 (15 to 22),19 (16 to 23),19 (15 to 23),19 (16 to 22),19 (15 to 23),19 (15 to 22)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-11 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-10 to -3),-7 (-11 to -3),-7 (-11 to -3)
-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -2)
0 (-1 to 1),0 (-2 to 1),0 (-2 to 1),0 (-1 to 1),0 (-2 to 1),0 (-1 to 1),0 (-2 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 3),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
464 (214 to 736),419 (203 to 654),407 (189 to 632),440 (211 to 680),398 (193 to 625),442 (206 to 696),442 (212 to 700)
472 (218 to 747),426 (201 to 666),414 (201 to 648),447 (217 to 694),405 (200 to 631),450 (221 to 723),450 (212 to 702)
424 (179 to 693),383 (159 to 628),372 (160 to 603),402 (166 to 649),364 (159 to 596),404 (174 to 671),404 (166 to 662)
8 (-82 to 101),7 (-76 to 99),7 (-74 to 93),7 (-75 to 95),7 (-64 to 91),8 (-78 to 99),8 (-78 to 101)
-40 (-172 to 71),-36 (-155 to 61),-35 (-152 to 56),-38 (-167 to 60),-34 (-143 to 55),-37 (-163 to 65),-38 (-162 to 64)
-48 (-142 to 0),-43 (-132 to 0),-42 (-128 to 0),-45 (-138 to 0),-41 (-126 to 0),-46 (-138 to 0),-46 (-138 to 0)
186 (86 to 295),174 (84 to 272),172 (80 to 267),180 (87 to 279),168 (82 to 264),180 (84 to 284),181 (86 to 286)
190 (87 to 300),177 (83 to 277),175 (85 to 274),183 (89 to 285),171 (84 to 267),183 (90 to 295),184 (87 to 287)
170 (72 to 278),159 (66 to 261),157 (68 to 255),165 (68 to 266),154 (67 to 252),165 (71 to 274),165 (68 to 271)
3 (-33 to 41),3 (-32 to 41),3 (-31 to 39),3 (-31 to 39),3 (-27 to 39),3 (-32 to 40),3 (-32 to 41)
-16 (-69 to 29),-15 (-64 to 25),-15 (-64 to 24),-16 (-68 to 24),-14 (-60 to 23),-15 (-66 to 26),-16 (-66 to 26)
-19 (-57 to 0),-18 (-55 to 0),-18 (-54 to 0),-19 (-56 to 0),-17 (-53 to 0),-19 (-56 to 0),-19 (-56 to 0)
