Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (24 to 34),29 (24 to 34)
49 (44 to 54),49 (44 to 54)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
25 (15 to 38),25 (15 to 38)
92 (85 to 98),92 (85 to 98)
82 (72 to 91),82 (72 to 91)
77 (66 to 87),77 (66 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
75 (62 to 85),75 (62 to 85)
8 (2 to 15),8 (2 to 15)
18 (9 to 28),18 (9 to 28)
23 (13 to 34),23 (13 to 34)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 11),8 (5 to 11)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 40),34 (27 to 40)
-7 (-10 to -4),-7 (-10 to -4)
14 (7 to 20),14 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1249 (-1404 to -1105),-1247 (-1394 to -1101)
-827 (-878 to -788),-825 (-872 to -784)
-891 (-965 to -827),-890 (-963 to -827)
-927 (-1009 to -850),-926 (-1007 to -850)
422 (279 to 578),422 (280 to 576)
357 (222 to 507),357 (224 to 498)
322 (193 to 467),322 (190 to 459)
-64 (-122 to -20),-64 (-123 to -18)
-100 (-183 to -26),-100 (-183 to -27)
-35 (-116 to 43),-36 (-116 to 45)
-509 (-573 to -451),-510 (-570 to -450)
-337 (-358 to -321),-337 (-357 to -320)
-364 (-394 to -337),-364 (-394 to -338)
-378 (-412 to -347),-378 (-412 to -347)
172 (114 to 236),172 (114 to 235)
146 (91 to 207),146 (92 to 204)
131 (79 to 191),131 (78 to 188)
-26 (-50 to -8),-26 (-50 to -7)
-41 (-75 to -10),-41 (-75 to -11)
-14 (-47 to 18),-15 (-47 to 18)
32 (28 to 36),37 (33 to 42)
108 (104 to 112),125 (120 to 129)
82 (75 to 88),94 (86 to 102)
85 (79 to 92),98 (90 to 105)
76 (71 to 81),87 (82 to 94)
50 (42 to 57),57 (48 to 65)
53 (45 to 60),60 (52 to 68)
-26 (-32 to -21),-31 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.94,20.72
13.89,15.92
16.45,18.69
40.5,47.32
22.75,27.26
-9.34,-8.98
43.98,50.69
34.05,38.95
40.33,45.71
99.27,115.75
55.77,66.68
-22.91,-21.96
