Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22),15 (9 to 22)
63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72),63 (54 to 72)
44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54)
36 (26 to 45),36 (26 to 45),36 (26 to 45),36 (26 to 45),36 (26 to 45),36 (26 to 45),36 (26 to 45)
13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20),13 (6 to 20)
56 (45 to 66),56 (45 to 66),56 (45 to 66),56 (45 to 66),56 (45 to 66),56 (45 to 66),56 (45 to 66)
32 (22 to 43),32 (22 to 43),32 (22 to 43),32 (22 to 43),32 (22 to 43),32 (22 to 43),32 (22 to 43)
23 (14 to 33),23 (14 to 33),23 (14 to 33),23 (14 to 33),23 (14 to 33),23 (14 to 33),23 (14 to 33)
74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92)
7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20),7 (0 to 20)
6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20)
13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31)
48 (36 to 58),48 (36 to 58),48 (36 to 58),48 (36 to 58),48 (36 to 58),48 (36 to 58),48 (36 to 58)
29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40),29 (18 to 40)
20 (10 to 32),20 (10 to 32),20 (10 to 32),20 (10 to 32),20 (10 to 32),20 (10 to 32),20 (10 to 32)
-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8),-19 (-29 to -8)
-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -2),-6 (-10 to -2),-6 (-10 to -3),-6 (-10 to -2),-6 (-10 to -3)
0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1)
1 (-1 to 3),1 (-1 to 2),1 (-1 to 2),1 (-1 to 3),1 (-1 to 2),1 (-1 to 3),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
462 (209 to 742),418 (188 to 678),406 (166 to 654),435 (196 to 699),398 (170 to 642),442 (188 to 707),440 (192 to 704)
470 (221 to 737),426 (184 to 677),413 (175 to 654),443 (205 to 701),405 (183 to 648),450 (211 to 717),448 (207 to 705)
423 (176 to 691),383 (158 to 635),371 (149 to 610),398 (165 to 650),364 (154 to 603),404 (165 to 675),402 (167 to 659)
8 (-80 to 104),8 (-75 to 89),7 (-71 to 85),8 (-78 to 93),7 (-72 to 87),8 (-78 to 96),7 (-78 to 96)
-39 (-176 to 63),-34 (-155 to 59),-35 (-152 to 56),-37 (-167 to 59),-34 (-146 to 52),-38 (-171 to 67),-38 (-165 to 60)
-48 (-143 to 0),-42 (-126 to 0),-42 (-123 to 0),-45 (-133 to 0),-41 (-121 to 0),-45 (-139 to 0),-45 (-139 to 0)
185 (84 to 298),174 (78 to 282),171 (70 to 276),178 (80 to 286),168 (72 to 271),180 (77 to 288),180 (79 to 288)
189 (89 to 296),177 (76 to 281),174 (74 to 276),182 (84 to 287),171 (77 to 274),183 (86 to 293),183 (85 to 288)
170 (71 to 277),159 (66 to 264),157 (63 to 258),163 (68 to 266),154 (65 to 255),165 (67 to 275),164 (68 to 269)
3 (-32 to 42),3 (-31 to 37),3 (-30 to 36),3 (-32 to 38),3 (-30 to 37),3 (-32 to 39),3 (-32 to 39)
-16 (-71 to 25),-14 (-64 to 24),-15 (-64 to 24),-15 (-68 to 24),-14 (-62 to 22),-15 (-70 to 27),-16 (-67 to 25)
-19 (-57 to 0),-18 (-52 to 0),-18 (-52 to 0),-18 (-54 to 0),-17 (-51 to 0),-18 (-57 to 0),-19 (-57 to 0)
