Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 42),35 (29 to 42)
30 (24 to 36),30 (24 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
25 (15 to 38),25 (15 to 38)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
75 (62 to 85),75 (62 to 85)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (0 to 3),2 (0 to 3)
21 (17 to 26),21 (17 to 26)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 22),14 (8 to 22)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1248 (-1411 to -1108),-1248 (-1414 to -1102)
-825 (-875 to -785),-824 (-879 to -785)
-869 (-939 to -810),-868 (-941 to -811)
-830 (-883 to -786),-829 (-883 to -786)
423 (282 to 580),424 (273 to 585)
380 (238 to 532),380 (238 to 542)
418 (273 to 578),419 (273 to 577)
-44 (-94 to -7),-44 (-94 to -7)
-5 (-58 to 47),-5 (-60 to 48)
39 (-24 to 106),39 (-22 to 112)
-509 (-575 to -452),-510 (-578 to -451)
-336 (-357 to -320),-337 (-359 to -321)
-354 (-383 to -330),-355 (-385 to -332)
-338 (-360 to -320),-339 (-361 to -322)
173 (115 to 236),173 (112 to 239)
155 (97 to 217),155 (97 to 222)
171 (111 to 236),171 (111 to 236)
-18 (-38 to -3),-18 (-39 to -3)
-2 (-24 to 19),-2 (-24 to 20)
16 (-10 to 43),16 (-9 to 46)
32 (28 to 36),38 (33 to 42)
108 (104 to 112),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
76 (70 to 81),87 (81 to 93)
53 (45 to 59),60 (52 to 68)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -18),-27 (-34 to -21)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 27),22 (14 to 30)
17.86,20.63
13.88,15.92
17.3,19.68
52.42,61.43
64.86,99.22
50.81,56.47
43.79,50.47
34.02,38.93
42.4,48.13
128.51,150.25
159,242.7
124.55,138.13
