Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 35),29 (24 to 35)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 98),97 (95 to 98)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (2 to 5),3 (2 to 5)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
12 (9 to 17),12 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
25 (14 to 36),25 (14 to 36)
92 (84 to 98),92 (84 to 98)
82 (71 to 92),82 (71 to 92)
76 (64 to 87),76 (64 to 87)
88 (83 to 91),88 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
75 (64 to 86),75 (64 to 86)
8 (2 to 16),8 (2 to 16)
18 (8 to 29),18 (8 to 29)
24 (13 to 36),24 (13 to 36)
18 (14 to 23),18 (14 to 23)
100 (100 to 100),100 (100 to 100)
70 (65 to 75),70 (65 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (16 to 26),21 (16 to 26)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
21 (14 to 27),21 (14 to 27)
14 (8 to 21),14 (8 to 21)
34 (28 to 41),34 (28 to 41)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 20),14 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1258 (-1414 to -1123),-1254 (-1413 to -1118)
-829 (-881 to -785),-827 (-879 to -784)
-892 (-966 to -825),-889 (-965 to -825)
-930 (-1017 to -858),-928 (-1014 to -855)
429 (286 to 578),426 (293 to 580)
366 (233 to 502),364 (233 to 504)
327 (194 to 478),326 (194 to 474)
-63 (-119 to -15),-62 (-119 to -14)
-101 (-181 to -26),-100 (-183 to -28)
-38 (-117 to 43),-38 (-116 to 44)
-513 (-577 to -458),-513 (-578 to -457)
-338 (-360 to -320),-338 (-359 to -320)
-364 (-394 to -337),-364 (-395 to -337)
-379 (-415 to -350),-379 (-414 to -349)
175 (117 to 236),174 (120 to 237)
149 (95 to 205),149 (95 to 206)
134 (79 to 195),133 (79 to 194)
-26 (-49 to -6),-25 (-49 to -6)
-41 (-74 to -10),-41 (-75 to -11)
-16 (-48 to 18),-16 (-47 to 18)
31 (27 to 35),36 (31 to 41)
108 (104 to 112),125 (121 to 129)
82 (75 to 88),94 (87 to 102)
85 (79 to 92),97 (90 to 105)
77 (72 to 82),89 (83 to 95)
51 (43 to 58),58 (50 to 66)
54 (47 to 61),62 (53 to 70)
-26 (-32 to -20),-30 (-37 to -24)
-23 (-30 to -16),-27 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.94,20.83
13.91,16.01
16.54,18.84
41.48,49.18
22.47,27.33
-8.48,-8.28
43.97,50.96
34.09,39.16
40.55,46.09
101.69,120.3
55.08,66.85
-20.79,-20.24
