Uganda,Zambia
16 (12 to 20),16 (12 to 20)
35 (29 to 42),35 (29 to 42)
30 (25 to 36),30 (25 to 36)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 57),50 (44 to 57)
27 (15 to 39),27 (15 to 39)
92 (85 to 98),92 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (43 to 56),50 (43 to 56)
73 (61 to 85),73 (61 to 85)
8 (2 to 15),8 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
20 (15 to 24),20 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
19 (12 to 26),19 (12 to 26)
14 (7 to 21),14 (7 to 21)
42 (35 to 49),42 (35 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 29),23 (17 to 29)
28 (22 to 35),28 (22 to 35)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
-6 (-8 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1241 (-1398 to -1095),-1238 (-1396 to -1093)
-826 (-875 to -784),-825 (-878 to -784)
-870 (-940 to -813),-868 (-941 to -810)
-830 (-887 to -785),-829 (-881 to -784)
415 (270 to 570),414 (271 to 573)
371 (226 to 529),370 (230 to 530)
411 (261 to 567),410 (263 to 569)
-44 (-94 to 0),-43 (-93 to 0)
-4 (-50 to 48),-4 (-53 to 46)
40 (-22 to 105),39 (-25 to 109)
-506 (-570 to -447),-506 (-571 to -447)
-337 (-357 to -320),-337 (-359 to -321)
-355 (-384 to -332),-355 (-385 to -331)
-338 (-362 to -320),-339 (-360 to -321)
169 (110 to 233),169 (111 to 234)
151 (92 to 216),151 (94 to 217)
168 (107 to 231),167 (107 to 233)
-18 (-38 to 0),-18 (-38 to 0)
-2 (-21 to 19),-2 (-22 to 19)
16 (-9 to 43),16 (-10 to 45)
34 (30 to 38),39 (35 to 44)
108 (104 to 111),125 (121 to 129)
85 (78 to 91),98 (90 to 105)
105 (100 to 109),120 (114 to 125)
74 (69 to 79),85 (80 to 91)
51 (43 to 58),59 (50 to 67)
71 (65 to 77),81 (74 to 87)
-23 (-28 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 26),22 (14 to 30)
17.83,20.66
13.78,15.84
17.24,19.67
52.21,61.81
81.33,122.27
49.41,55.66
43.71,50.54
33.78,38.74
42.26,48.11
127.99,151.18
199.38,299.07
121.12,136.15
