Uganda,Zambia
16 (12 to 20),16 (12 to 20)
35 (30 to 41),35 (30 to 41)
30 (24 to 35),30 (24 to 35)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (10 to 18),13 (10 to 18)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (13 to 37),25 (13 to 37)
92 (85 to 98),92 (85 to 98)
85 (76 to 94),85 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (82 to 90),87 (82 to 90)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 87),75 (63 to 87)
8 (2 to 15),8 (2 to 15)
15 (6 to 24),15 (6 to 24)
8 (2 to 16),8 (2 to 16)
20 (15 to 24),20 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 4),2 (0 to 4)
21 (16 to 25),21 (16 to 25)
15 (11 to 19),15 (11 to 19)
11 (8 to 15),11 (8 to 15)
20 (13 to 26),20 (13 to 26)
14 (7 to 21),14 (7 to 21)
42 (36 to 50),42 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (17 to 30),23 (17 to 30)
28 (23 to 35),28 (23 to 35)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1253 (-1401 to -1107),-1249 (-1409 to -1106)
-827 (-876 to -785),-826 (-873 to -785)
-870 (-937 to -814),-869 (-937 to -812)
-831 (-886 to -786),-830 (-883 to -786)
426 (280 to 580),424 (281 to 591)
382 (244 to 541),380 (247 to 538)
422 (288 to 588),420 (285 to 576)
-43 (-97 to 0),-44 (-93 to 0)
-4 (-57 to 50),-4 (-58 to 49)
40 (-24 to 114),40 (-23 to 112)
-511 (-572 to -452),-511 (-576 to -452)
-337 (-357 to -320),-338 (-357 to -321)
-355 (-382 to -332),-355 (-383 to -332)
-339 (-361 to -321),-339 (-361 to -322)
174 (114 to 237),173 (115 to 242)
156 (100 to 221),155 (101 to 220)
172 (117 to 240),172 (116 to 235)
-18 (-40 to 0),-18 (-38 to 0)
-2 (-23 to 20),-2 (-24 to 20)
16 (-10 to 47),16 (-9 to 46)
33 (29 to 37),38 (34 to 43)
108 (104 to 111),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
75 (70 to 80),87 (81 to 93)
52 (45 to 60),60 (52 to 68)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.67,20.51
13.69,15.78
17.1,19.55
52.69,61.78
79.55,122.19
50.06,55.72
43.31,50.17
33.56,38.61
41.91,47.82
129.17,151.12
195,298.89
122.71,136.3
