Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 35),30 (24 to 35)
58 (52 to 64),58 (52 to 64)
99 (98 to 100),99 (98 to 100)
97 (95 to 98),97 (95 to 98)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (2 to 5),3 (2 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (14 to 37),25 (14 to 37)
93 (85 to 98),93 (85 to 98)
86 (76 to 94),86 (76 to 94)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 86),75 (63 to 86)
7 (2 to 15),7 (2 to 15)
14 (6 to 24),14 (6 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 94),91 (88 to 94)
2 (0 to 3),2 (0 to 3)
21 (16 to 25),21 (16 to 25)
15 (11 to 18),15 (11 to 18)
11 (8 to 15),11 (8 to 15)
20 (13 to 27),20 (13 to 27)
14 (8 to 21),14 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1249 (-1405 to -1105),-1246 (-1413 to -1100)
-825 (-877 to -783),-823 (-872 to -785)
-868 (-936 to -809),-867 (-937 to -811)
-829 (-883 to -787),-828 (-879 to -788)
425 (280 to 584),423 (277 to 588)
382 (241 to 529),380 (241 to 532)
420 (275 to 582),419 (278 to 582)
-43 (-91 to -4),-43 (-92 to -5)
-4 (-54 to 47),-4 (-52 to 45)
39 (-23 to 105),39 (-24 to 102)
-510 (-573 to -451),-510 (-578 to -450)
-336 (-358 to -320),-337 (-357 to -321)
-354 (-382 to -330),-354 (-383 to -331)
-338 (-360 to -321),-338 (-359 to -322)
173 (114 to 238),173 (113 to 240)
156 (98 to 216),155 (99 to 217)
171 (112 to 238),171 (114 to 238)
-18 (-37 to -1),-18 (-38 to -2)
-2 (-22 to 19),-2 (-21 to 18)
16 (-9 to 43),16 (-10 to 42)
33 (30 to 37),39 (34 to 43)
108 (104 to 111),125 (121 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
74 (69 to 79),86 (80 to 92)
52 (44 to 59),59 (51 to 68)
71 (65 to 77),81 (74 to 88)
-23 (-28 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.51,20.33
13.54,15.59
16.95,19.35
52.63,61.92
71.25,115.42
50.51,56.03
42.93,49.72
33.19,38.14
41.55,47.34
129.02,151.45
174.66,282.32
123.81,137.05
