Label,Variables,itb_exp_con.factor,itb_fat_2,itb_cou_3,itb_app_2,temp_38,tachycardia,ice_ind.factor,ice_cra.factor,ice_csc.factor,ice_ade.factor,cxr_pre_alv.factor,cxr_pre_hil.factor,cxr_pre_ple.factor,cxr_pre_eff.factor,aus_hep.factor,aus_sma.factor,aus_effusion,hiv_res.factor,Xpert_res
Contact with adult TB case,itb_exp_con.factor,10,,,,,,,,,,,,,,,,,,
Fatigue / Loss of playfulness >= 2 weeks,itb_fat_2,7,64,,,,,,,,,,,,,,,,,
Cough >= 3 weeks,itb_cou_3,6,18,25,,,,,,,,,,,,,,,,
Loss of appetite >= 2 weeks,itb_app_2,7,55,21,65,,,,,,,,,,,,,,,
Temperature > 38,temp_38,2,8,4,11,14,,,,,,,,,,,,,,
Tachycardia,tachycardia,3,11,8,15,11,23,,,,,,,,,,,,,
Chest-in-drawing,ice_ind.factor,1,16,6,17,4,6,19,,,,,,,,,,,,
Crackles on auscultation,ice_cra.factor,1,16,10,17,5,9,13,29,,,,,,,,,,,
Lack of consciousness,ice_csc.factor,6,17,10,21,7,11,2,7,39,,,,,,,,,,
Cervical or supra-clavicular adenopathy ,ice_ade.factor,1,4,2,3,0,3,1,2,2,5,,,,,,,,,
CXR - Presence of alveolar opacity,cxr_pre_alv.factor,8,32,16,34,9,12,12,15,16,2,45,,,,,,,,
CXR - Presence of Hilar/mediastinal lymphadenopathy,cxr_pre_hil.factor,5,31,13,33,9,13,11,14,21,4,23,45,,,,,,,
CXR - Presence of Pleural effusion,cxr_pre_ple.factor,0,3,1,2,1,0,2,4,2,0,4,3,5,,,,,,
CXR - Presence of Pericardial effusion,cxr_pre_eff.factor,0,1,1,0,0,0,0,1,0,0,1,0,1,1,,,,,
AUS - Hepatomegaly ,aus_hep.factor,3,6,2,4,1,3,2,2,1,1,2,2,0,0,7,,,,
AUS - Splenic micro-abscesses ,aus_sma.factor,0,8,3,8,3,4,2,7,6,1,6,8,1,0,1,16,,,
AUS - Pleural effusion / Pericardial effusion,aus_effusion,3,11,8,11,5,8,4,9,4,2,13,8,3,1,3,5,23,,
Result of HIV testing ,hiv_res.factor,3,15,5,15,1,4,5,7,10,1,9,10,1,0,1,4,1,21,
Xpert result,Xpert_res,7,22,10,26,6,8,4,10,15,2,18,13,0,0,2,7,10,4,42
