Contact_TB,itb_fat_2,itb_fev_2,itb_cou_2,itb_cou_3,itb_app_2,temp_38,itb_wgt_2,itb_wgt.factor,tachycardia,tachypnea,ice_ind_bin.factor,ice_cra.factor,Dep_csc,ice_ade_bin.factor,cxr_pre_mil.factor,cxr_pre_alv.factor,cxr_pre_hil.factor,cxr_pre_exc.factor,cxr_pre_ple.factor,cxr_pre_eff.factor,cxr_pre_ple_per_eff.factor,aus_sma.factor,aus_hma.factor,aus_effusion,aus_asc.factor,reassessment,hiv_res.factor,Xpert_res,night.sweats,haemoptysis
55.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.491,322.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.8235,72.3855,120.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2435,101.864,39.1085,169.7555,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.124,80.0895,29.4785,42.907,132.359,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0425,200.5715,74.472,105.288,83.7275,332.5025,,,,,,,,,,,,,,,,,,,,,,,,,
8.3995,46.1705,17.548,24.6635,20.5975,49.3805,78.966,,,,,,,,,,,,,,,,,,,,,,,,
37.0755,210.683,77.254,109.5145,87.1515,216.4075,50.825,350.0505,,,,,,,,,,,,,,,,,,,,,,,
44.833,262.257,98.6005,139.207,107.8025,272.2615,64.2,284.299,434.313,,,,,,,,,,,,,,,,,,,,,,
12.626,74.8465,29.318,38.734,32.0465,77.361,18.297,82.6575,101.757,124.8155,,,,,,,,,,,,,,,,,,,,,
5.2965,30.5485,11.556,16.1035,12.4655,32.956,8.6135,34.2935,42.9605,11.7165,51.7345,,,,,,,,,,,,,,,,,,,,
11.128,67.517,23.7005,33.7585,27.6595,65.7515,16.371,69.657,87.1515,25.145,10.379,106.251,,,,,,,,,,,,,,,,,,,
16.2105,95.872,36.273,50.0225,38.8945,98.1725,23.1655,105.181,128.828,37.45,15.6755,32.1,158.895,,,,,,,,,,,,,,,,,,
34.1865,197.308,73.188,102.1315,81.8015,201.053,46.1705,211.3785,264.4505,75.221,31.993,63.0765,96.407,325.173,,,,,,,,,,,,,,,,,
3.2635,15.5685,6.1525,9.309,7.383,16.5315,3.852,18.0295,22.0955,6.2595,3.5845,5.2965,7.6505,16.8525,27.071,,,,,,,,,,,,,,,,
2.9425,15.8895,6.099,8.453,6.848,17.334,4.0125,17.9225,23.326,6.42,2.782,6.42,8.132,16.7455,1.1235,27.713,,,,,,,,,,,,,,,
24.289,140.598,51.9485,72.974,57.6195,142.5775,34.0795,150.763,189.604,55.426,21.7745,45.582,69.015,137.0135,12.091,11.984,231.4945,,,,,,,,,,,,,,
27.071,143.594,52.4835,75.3815,60.348,148.2485,35.952,156.2735,191.2625,56.3355,23.326,47.0265,70.6735,146.055,11.984,11.663,105.181,236.577,,,,,,,,,,,,,
1.4445,8.9345,4.066,5.5105,4.0125,9.309,2.354,10.3255,12.7865,3.638,1.7655,2.8355,5.1895,10.165,0.749,1.0165,6.527,7.062,15.836,,,,,,,,,,,,
3.638,18.939,6.4735,10.2185,7.8645,18.3505,4.815,20.972,26.001,7.8645,2.7285,6.42,9.6835,18.725,2.033,1.5515,13.2145,14.338,1.1235,31.1905,,,,,,,,,,,
0.8025,6.42,1.9795,3.3705,2.4075,5.778,1.6585,7.383,8.0785,2.7285,1.07,2.1935,3.0495,6.0455,0.3745,0.642,4.601,4.3335,0.4815,0.4815,10.058,,,,,,,,,,
3.1565,19.153,5.6175,9.951,8.2925,19.26,5.4035,19.6345,25.145,7.276,2.675,6.1525,9.3625,18.2435,1.3375,1.1235,14.231,13.7495,0.8025,1.6585,0.8025,30.281,,,,,,,,,
9.1485,50.7715,18.3505,28.248,21.293,52.4835,11.556,55.212,69.229,19.153,8.346,16.7455,24.075,52.216,4.708,5.136,36.2195,37.557,2.889,4.8685,1.4445,4.494,84.102,,,,,,,,
1.7655,9.6835,3.531,5.243,4.28,9.7905,2.3005,11.6095,13.268,3.4775,1.284,3.5845,5.136,10.1115,1.0165,1.07,6.955,7.276,0.5885,0.749,0.107,1.07,2.5145,16.4245,,,,,,,
12.6795,72.7065,27.606,39.2155,30.0135,78.966,18.511,80.3035,100.259,29.0505,13.0005,25.038,37.8245,76.4515,6.741,6.7945,53.7675,54.57,3.6915,7.597,2.6215,6.42,20.223,3.7985,124.227,,,,,,
7.8645,36.915,14.0705,20.865,16.371,39.697,10.1115,43.6025,52.323,15.0335,6.848,12.7865,19.6345,37.878,3.6915,3.4775,29.3715,28.248,2.3005,3.424,0.749,3.852,10.379,2.14,14.3915,63.879,,,,,
14.8195,89.559,33.919,47.615,35.952,93.197,23.2725,96.621,121.124,33.9725,15.087,30.709,44.9935,92.8225,7.4365,8.2925,63.879,64.8955,4.708,9.523,2.461,8.6135,23.2725,5.1895,33.7585,17.013,149.479,,,,
10.3255,64.307,22.577,33.384,25.573,66.019,14.9265,69.1755,85.4395,24.2355,9.523,21.293,33.491,65.698,4.066,5.885,45.4215,45.9565,3.21,6.1525,1.7655,6.4735,16.692,3.21,25.145,12.8935,29.318,105.2345,,,
24.289,136.3715,50.183,72.439,55.3725,141.668,32.849,150.014,186.6615,53.9815,22.2025,45.689,69.443,138.9395,10.3255,11.984,100.9545,102.613,6.848,13.5355,4.1195,14.6055,35.1495,7.276,51.5205,28.355,62.1135,45.6355,229.836,,
11.342,62.7555,22.5235,31.03,24.5565,63.13,15.6755,64.3605,82.818,21.8815,11.128,20.8115,30.6555,62.06,4.28,5.136,43.8165,46.866,3.21,6.3665,2.1935,5.0825,15.836,3.5845,23.0585,11.77,28.6225,20.223,45.368,101.9175,
1.712,8.2925,3.0495,4.6545,3.3705,8.6135,2.033,9.309,11.7165,2.9425,1.284,2.8355,4.494,8.9345,0.6955,0.963,6.2595,6.848,0.214,1.2305,0.1605,0.6955,2.5145,0.214,3.1565,1.7655,4.28,2.7285,6.2595,2.461,14.338
