Label,Variables,itb_exp_con.factor,itb_fat_2,itb_fev_2,itb_cou_3,itb_wgt_3,tachycardia,tachypnea,ice_ade.factor,cxr_pre_mil.factor,cxr_pre_alv.factor,cxr_pre_hil.factor,cxr_pre_exc.factor,cxr_pre_eff.factor,hiv_res.factor,Xpert_res
Contact with adult TB case,itb_exp_con.factor,7,,,,,,,,,,,,,,
Fatigue / Loss of playfulness >= 2 weeks,itb_fat_2,4,172,,,,,,,,,,,,,
Fever >= 2 weeks,itb_fev_2,0,30,44,,,,,,,,,,,,
Cough >= 3 weeks,itb_cou_3,1,28,11,38,,,,,,,,,,,
Weight loss >= 3 weeks,itb_wgt_3,3,119,34,30,225,,,,,,,,,,
Tachycardia,tachycardia,2,21,6,0,20,37,,,,,,,,,
Tachypnea,tachypnea,0,8,3,3,7,3,11,,,,,,,,
Cervical or supra-clavicular adenopathy ,ice_ade.factor,0,1,2,0,3,1,1,3,,,,,,,
CXR - Presence of miliary,cxr_pre_mil.factor,0,1,0,1,1,0,1,0,2,,,,,,
CXR - Presence of alveolar opacity,cxr_pre_alv.factor,0,37,14,11,44,11,7,2,0,90,,,,,
CXR - Presence of Hilar/mediastinal lymphadenopathy,cxr_pre_hil.factor,2,50,18,9,57,14,4,1,1,18,101,,,,
CXR - Presence of Excavation (cavity),cxr_pre_exc.factor,0,4,1,0,3,4,1,0,0,4,2,5,,,
CXR - Presence of Pleural/Pericardial effusion,cxr_pre_eff.factor,0,1,3,1,3,0,0,0,0,2,3,0,7,,
Result of HIV testing ,hiv_res.factor,1,18,6,3,24,5,3,0,0,12,12,2,1,37,
Xpert result,Xpert_res,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
