Contact_TB,itb_fat_2,itb_fev_2,itb_cou_2,itb_cou_3,itb_app_2,temp_38,itb_wgt_2,itb_wgt.factor,tachycardia,tachypnea,ice_ind_bin.factor,ice_cra.factor,Dep_csc,ice_ade_bin.factor,cxr_pre_mil.factor,cxr_pre_alv.factor,cxr_pre_hil.factor,cxr_pre_exc.factor,cxr_pre_ple.factor,cxr_pre_eff.factor,cxr_pre_ple_per_eff.factor,aus_sma.factor,aus_hma.factor,aus_effusion,aus_asc.factor,reassessment,hiv_res.factor,Xpert_res,night.sweats,haemoptysis
10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1195,214.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9095,23.754,54.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7655,30.4415,7.7575,78.966,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8025,20.651,4.387,6.634,45.4215,,,,,,,,,,,,,,,,,,,,,,,,,,
4.173,93.5715,23.861,34.7215,19.367,230.157,,,,,,,,,,,,,,,,,,,,,,,,,
0.3745,5.7245,1.6585,2.5145,0.963,6.0455,14.7125,,,,,,,,,,,,,,,,,,,,,,,,
6.206,132.3055,32.9025,49.5945,29.3715,142.0425,8.56,331.5395,,,,,,,,,,,,,,,,,,,,,,,
8.3995,175.908,44.1375,64.3605,37.129,187.4105,11.877,270.068,435.6505,,,,,,,,,,,,,,,,,,,,,,
1.0165,20.116,4.066,7.062,4.173,19.3135,1.3375,29.9065,38.8945,47.508,,,,,,,,,,,,,,,,,,,,,
0.321,5.885,1.819,2.0865,0.963,5.885,0.4815,8.6135,11.0745,1.391,13.7495,,,,,,,,,,,,,,,,,,,,
0.428,12.4655,3.638,4.9755,2.461,13.268,0.4815,20.4905,25.466,2.889,0.642,30.709,,,,,,,,,,,,,,,,,,,
1.0165,24.289,5.2965,8.0785,5.1895,24.396,1.4445,35.2565,45.4215,4.4405,1.1235,3.852,56.9775,,,,,,,,,,,,,,,,,,
5.35,103.148,26.8035,37.236,21.828,109.354,7.2225,159.2695,208.8105,23.326,5.8315,13.3215,27.6595,255.7835,,,,,,,,,,,,,,,,,
0.214,2.6215,0.749,1.284,0.8025,2.568,0.1605,4.3335,5.992,0.749,0.107,0.5885,0.6955,3.531,7.062,,,,,,,,,,,,,,,,
0.0535,1.391,0.2675,0.321,0.3745,1.177,0.214,2.354,3.1565,0.2675,0.107,0.1605,0.3745,1.605,0,3.6915,,,,,,,,,,,,,,,
2.1935,42.8535,11.021,15.0335,9.844,46.3845,2.782,66.447,87.954,10.486,2.461,5.885,11.984,50.3435,1.284,0.642,107.9095,,,,,,,,,,,,,,
3.1565,47.9895,13.0005,18.3505,10.8605,53.5,3.959,78.431,100.5265,11.7165,3.5845,6.7945,12.626,57.566,1.926,0.963,25.8405,124.2805,,,,,,,,,,,,,
0.107,2.996,0.749,1.4445,0.642,3.3705,0.214,4.173,5.778,0.642,0.1605,0.321,0.5885,3.4775,0.1605,0.107,1.177,2.033,7.4365,,,,,,,,,,,,
0.107,1.284,0.214,1.177,0.4815,2.3005,0.1605,2.6215,3.317,0.214,0,0.214,0.214,2.033,0.0535,0,0.8025,0.749,0.0535,4.1195,,,,,,,,,,,
0.107,3.4775,0.749,0.9095,0.749,3.317,0.0535,4.815,6.741,0.3745,0.3745,0.2675,1.0165,4.066,0.107,0,1.391,1.8725,0.2675,0.107,7.9715,,,,,,,,,,
0.1605,3.317,0.6955,0.963,0.5885,4.1195,0.2675,4.601,6.634,0.535,0.214,0.4815,1.284,3.9055,0.107,0.0535,1.8725,2.1935,0,0.0535,0,8.453,,,,,,,,,
0.321,5.2965,1.605,1.712,1.177,6.3665,0.321,9.095,11.342,1.0165,0.535,0.8025,1.284,6.4735,0.214,0.107,2.5145,3.2635,0.3745,0.2675,0.3745,0.2675,14.0705,,,,,,,,
0,1.284,0.3745,0.4815,0.2675,1.712,0.1605,2.354,2.9425,0.214,0.107,0.3745,0.4815,2.033,0.0535,0,0.749,0.749,0.0535,0.0535,0.107,0.0535,0.1605,3.638,,,,,,,
1.391,25.252,6.848,8.2925,6.741,26.75,1.6585,37.9315,49.862,5.671,2.1935,3.5845,7.1155,28.676,0.963,0.321,13.2145,14.6055,0.4815,0.428,1.0165,1.177,1.0165,0.3745,61.5785,,,,,,
0.856,15.1405,3.7985,5.4035,3.1565,16.692,1.8725,23.968,31.565,3.531,0.6955,2.354,3.1565,18.832,0.535,0.0535,8.239,8.881,0.428,0.107,0.642,0.5885,1.07,0.428,4.5475,38.5735,,,,,
2.996,62.4345,15.6755,23.0585,12.8935,65.484,4.8685,93.839,127.5975,13.3215,3.531,8.8275,16.7455,71.6365,1.498,0.749,30.388,37.878,2.568,0.9095,2.354,2.9425,4.2265,1.1235,17.976,11.342,153.5985,,,,
0.9095,18.725,5.0825,8.132,3.7985,21.1325,1.284,29.425,39.055,4.173,1.2305,3.1565,4.8685,23.219,0.749,0.4815,8.56,9.8975,0.9095,0.321,0.9095,0.3745,1.712,0.3745,4.922,3.9055,13.5355,47.1335,,,
0,0.8025,0.2675,0.2675,0.107,0.6955,0.0535,0.9095,1.3375,0.107,0,0.1605,0.107,0.6955,0,0,0.428,0.3745,0.0535,0,0,0,0,0,0.2675,0.1605,0.535,0.214,1.605,,
3.424,64.949,18.0295,24.6635,13.9635,71.5295,4.494,103.9505,135.997,14.4985,4.2265,9.2555,18.297,79.5545,2.0865,0.9095,34.0795,40.0715,2.782,1.0165,2.461,2.889,4.173,1.07,18.832,12.3585,48.4175,15.622,0.5885,167.7225,
0.3745,6.527,1.712,1.9795,1.3375,5.885,0.321,9.951,12.412,1.177,0.428,1.2305,1.712,7.811,0.0535,0.0535,2.568,3.5845,0.1605,0.3745,0.107,0.321,0.107,0.107,1.7655,0.963,4.708,1.2305,0,4.494,15.4615
